egoid,apps_all,apps_dating,apps_nondating
1888,a05|a14,a05|a14,s01888
1889,a01|a19,a01|a19,s01889
1890,a05|a14,a05|a14,s01890
1891,s01891,s01891,s01891
1892,a10|a14,a14,a10
1893,s01893,s01893,s01893
1894,s01894,s01894,s01894
1895,a05|a08|a10|a14,a05|a14,a08|a10
1896,a14,a14,s01896
1897,a05|a14|a41,a05|a14|a41,s01897
1898,a05|a17,a05|a17,s01898
1899,a14,a14,s01899
1900,a17|a18,a17|a18,s01900
1901,a17|a18,a17|a18,s01901
1902,s01902,s01902,s01902
1903,a05|a14|a16,a05|a14|a16,s01903
1904,s01904,s01904,s01904
1905,s01905,s01905,s01905
1906,s01906,s01906,s01906
1907,a16,a16,s01907
1908,a05|a14,a05|a14,s01908
1909,a01|a05,a01|a05,s01909
1910,s01910,s01910,s01910
1911,a05|a19|a34,a05|a19|a34,s01911
1912,a17|a18,a17|a18,s01912
1913,s01913,s01913,s01913
1914,a05|a17,a05|a17,s01914
1915,a14,a14,s01915
1916,s01916,s01916,s01916
1917,s01917,s01917,s01917
1918,a05|a36,a05|a36,s01918
1919,s01919,s01919,s01919
1920,a05|a10|a14,a05|a14,a10
1921,s01921,s01921,s01921
1922,a08,s01922,a08
1923,a05|a10|a14,a05|a14,a10
1924,s01924,s01924,s01924
1925,s01925,s01925,s01925
1926,a05|a17,a05|a17,s01926
1927,s01927,s01927,s01927
1928,a05|a14,a05|a14,s01928
1929,a16,a16,s01929
1930,a05|a14,a05|a14,s01930
1931,s01931,s01931,s01931
1932,a17,a17,s01932
1933,a05|a14|a17|a41,a05|a14|a17|a41,s01933
1934,a05|a14,a05|a14,s01934
1935,s01935,s01935,s01935
1936,a17|a18,a17|a18,s01936
1937,a05|a14,a05|a14,s01937
1938,a16,a16,s01938
1939,a05|a16,a05|a16,s01939
1940,a14,a14,s01940
1941,a17|a18,a17|a18,s01941
1942,a01|a19,a01|a19,s01942
1943,a05|a17|a36,a05|a17|a36,s01943
1944,a05|a17,a05|a17,s01944
1945,s01945,s01945,s01945
1946,s01946,s01946,s01946
1947,a07|a08|a10|a14,a14,a07|a08|a10
1948,a05|a14,a05|a14,s01948
1949,a05,a05,s01949
1950,a05|a14|a17|a41,a05|a14|a17|a41,s01950
1951,a05|a14|a41,a05|a14|a41,s01951
1952,a16,a16,s01952
1953,a14,a14,s01953
1954,a14,a14,s01954
1955,a05|a14,a05|a14,s01955
1956,a14,a14,s01956
1957,s01957,s01957,s01957
1958,s01958,s01958,s01958
1959,a05|a14,a05|a14,s01959
1960,a05|a14,a05|a14,s01960
1961,a17|a19,a17|a19,s01961
1962,a17|a36,a17|a36,s01962
1963,s01963,s01963,s01963
1964,a05|a14|a21,a05|a14|a21,s01964
1965,a05|a14,a05|a14,s01965
1966,s01966,s01966,s01966
1967,a05,a05,s01967
1968,a14,a14,s01968
1969,a14,a14,s01969
1970,a14,a14,s01970
1971,a05|a36,a05|a36,s01971
1972,s01972,s01972,s01972
1973,a05|a14,a05|a14,s01973
1974,a05|a16,a05|a16,s01974
1975,a05|a14,a05|a14,s01975
1976,a05|a17|a18,a05|a17|a18,s01976
1977,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s01977
1978,a05,a05,s01978
1979,a05,a05,s01979
1980,s01980,s01980,s01980
1981,s01981,s01981,s01981
1982,a01|a05|a32,a01|a05|a32,s01982
1983,s01983,s01983,s01983
1984,s01984,s01984,s01984
1985,s01985,s01985,s01985
1986,a05|a14,a05|a14,s01986
1987,a01|a05|a32,a01|a05|a32,s01987
1988,a05|a14,a05|a14,s01988
1989,a05|a14|a17,a05|a14|a17,s01989
1990,a05|a14,a05|a14,s01990
1991,a05|a08|a14|a17,a05|a14|a17,a08
1992,a14,a14,s01992
1993,a05|a14|a16,a05|a14|a16,s01993
1994,a05|a14|a41,a05|a14|a41,s01994
1995,s01995,s01995,s01995
1996,a07|a08|a10|a14,a14,a07|a08|a10
1997,s01997,s01997,s01997
1998,a05|a14|a16,a05|a14|a16,s01998
1999,a07|a08|a10|a14,a14,a07|a08|a10
2000,a05|a18,a05|a18,s02000
2001,s02001,s02001,s02001
2002,a05|a14,a05|a14,s02002
2003,a05|a18,a05|a18,s02003
2004,a05|a14|a21,a05|a14|a21,s02004
2005,s02005,s02005,s02005
2006,s02006,s02006,s02006
2007,a14,a14,s02007
2008,a05|a14,a05|a14,s02008
2009,s02009,s02009,s02009
2010,s02010,s02010,s02010
2011,a17|a36,a17|a36,s02011
2012,a05|a17,a05|a17,s02012
2013,a05|a14|a16,a05|a14|a16,s02013
2014,s02014,s02014,s02014
2015,a05|a14,a05|a14,s02015
2016,a03|a05|a17|a36,a03|a05|a17|a36,s02016
2017,a05|a17,a05|a17,s02017
2018,a05|a14,a05|a14,s02018
2019,a05|a17|a36,a05|a17|a36,s02019
2020,s02020,s02020,s02020
2021,a05|a14,a05|a14,s02021
2022,a05,a05,s02022
2023,a14|a21,a14|a21,s02023
2024,a17|a18,a17|a18,s02024
2025,a17|a19,a17|a19,s02025
2026,s02026,s02026,s02026
2027,a05|a36,a05|a36,s02027
2028,a05|a14,a05|a14,s02028
2029,a05|a08|a10|a14,a05|a14,a08|a10
2030,a05|a17,a05|a17,s02030
2031,a14,a14,s02031
2032,a05|a10|a14,a05|a14,a10
2033,s02033,s02033,s02033
2034,a05|a16,a05|a16,s02034
2035,a05,a05,s02035
2036,s02036,s02036,s02036
2037,s02037,s02037,s02037
2038,s02038,s02038,s02038
2039,s02039,s02039,s02039
2040,a05|a14,a05|a14,s02040
2041,a05|a14|a36,a05|a14|a36,s02041
2042,s02042,s02042,s02042
2043,a01|a05|a32,a01|a05|a32,s02043
2044,a05|a19|a34,a05|a19|a34,s02044
2045,a05|a14|a16,a05|a14|a16,s02045
2046,a05|a14|a36,a05|a14|a36,s02046
2047,a05|a17,a05|a17,s02047
2048,a05|a14|a16,a05|a14|a16,s02048
2049,a17|a36,a17|a36,s02049
2050,s02050,s02050,s02050
2051,s02051,s02051,s02051
2052,a01|a19,a01|a19,s02052
2053,a14,a14,s02053
2054,a05|a14|a21,a05|a14|a21,s02054
2055,a05|a14|a36,a05|a14|a36,s02055
2056,a05|a14|a16,a05|a14|a16,s02056
2057,s02057,s02057,s02057
2058,s02058,s02058,s02058
2059,a05|a14|a16,a05|a14|a16,s02059
2060,s02060,s02060,s02060
2061,s02061,s02061,s02061
2062,s02062,s02062,s02062
2063,a05|a08|a14|a17,a05|a14|a17,a08
2064,a07|a08|a10,s02064,a07|a08|a10
2065,a16,a16,s02065
2066,a05|a17|a36,a05|a17|a36,s02066
2067,s02067,s02067,s02067
2068,a05|a08|a14|a17,a05|a14|a17,a08
2069,a05|a14|a16,a05|a14|a16,s02069
2070,a05,a05,s02070
2071,a05|a07|a10|a16,a05|a16,a07|a10
2072,a16,a16,s02072
2073,s02073,s02073,s02073
2074,s02074,s02074,s02074
2075,a16,a16,s02075
2076,a05|a07|a10|a16,a05|a16,a07|a10
2077,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02077
2078,a05|a14,a05|a14,s02078
2079,a07|a08|a10,s02079,a07|a08|a10
2080,a10|a14,a14,a10
2081,a14,a14,s02081
2082,a05|a14|a36,a05|a14|a36,s02082
2083,a05|a14|a21,a05|a14|a21,s02083
2084,a14,a14,s02084
2085,s02085,s02085,s02085
2086,a05|a10|a14,a05|a14,a10
2087,a05|a14,a05|a14,s02087
2088,s02088,s02088,s02088
2089,a14,a14,s02089
2090,a05|a14,a05|a14,s02090
2091,a05|a17,a05|a17,s02091
2092,a05|a14|a16,a05|a14|a16,s02092
2093,a07|a08|a10|a14,a14,a07|a08|a10
2094,a05,a05,s02094
2095,s02095,s02095,s02095
2096,a05|a19|a34,a05|a19|a34,s02096
2097,a14|a21,a14|a21,s02097
2098,s02098,s02098,s02098
2099,a05|a18,a05|a18,s02099
2100,s02100,s02100,s02100
2101,a07,s02101,a07
2102,a05|a08|a10|a14,a05|a14,a08|a10
2103,a05,a05,s02103
2104,a14,a14,s02104
2105,a05|a14|a16,a05|a14|a16,s02105
2106,s02106,s02106,s02106
2107,s02107,s02107,s02107
2108,a07,s02108,a07
2109,a05,a05,s02109
2110,s02110,s02110,s02110
2111,s02111,s02111,s02111
2112,s02112,s02112,s02112
2113,a07|a08|a10|a14,a14,a07|a08|a10
2114,a05|a16,a05|a16,s02114
2115,a05|a14|a36,a05|a14|a36,s02115
2116,a07|a08|a10|a14,a14,a07|a08|a10
2117,a05|a14|a16,a05|a14|a16,s02117
2118,a01|a05|a14|a17|a23|a41,a01|a05|a14|a17|a23|a41,s02118
2119,s02119,s02119,s02119
2120,a05,a05,s02120
2121,s02121,s02121,s02121
2122,a05|a14,a05|a14,s02122
2123,a14,a14,s02123
2124,a05,a05,s02124
2125,a05|a19|a34,a05|a19|a34,s02125
2126,s02126,s02126,s02126
2127,a05,a05,s02127
2128,a05|a14,a05|a14,s02128
2129,s02129,s02129,s02129
2130,s02130,s02130,s02130
2131,a05|a14|a36,a05|a14|a36,s02131
2132,a17|a19,a17|a19,s02132
2133,a05|a17|a18,a05|a17|a18,s02133
2134,a10|a14,a14,a10
2135,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02135
2136,s02136,s02136,s02136
2137,a14,a14,s02137
2138,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02138
2139,a17|a18,a17|a18,s02139
2140,a05|a17,a05|a17,s02140
2141,a05|a08|a14|a17,a05|a14|a17,a08
2142,a17|a18,a17|a18,s02142
2143,s02143,s02143,s02143
2144,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02144
2145,a05|a14|a16,a05|a14|a16,s02145
2146,a05|a14|a36,a05|a14|a36,s02146
2147,s02147,s02147,s02147
2148,a07|a08|a10,s02148,a07|a08|a10
2149,a14,a14,s02149
2150,a14,a14,s02150
2151,s02151,s02151,s02151
2152,a05|a14,a05|a14,s02152
2153,a05|a14|a16,a05|a14|a16,s02153
2154,a05,a05,s02154
2155,a05|a14,a05|a14,s02155
2156,a05|a14|a36,a05|a14|a36,s02156
2157,a07|a08|a10|a14,a14,a07|a08|a10
2158,a05|a08|a14|a17,a05|a14|a17,a08
2159,a17|a18,a17|a18,s02159
2160,s02160,s02160,s02160
2161,s02161,s02161,s02161
2162,s02162,s02162,s02162
2163,a07|a08|a10,s02163,a07|a08|a10
2164,a14,a14,s02164
2165,a05|a17,a05|a17,s02165
2166,a05|a17,a05|a17,s02166
2167,a05|a18,a05|a18,s02167
2168,s02168,s02168,s02168
2169,s02169,s02169,s02169
2170,a05|a14,a05|a14,s02170
2171,s02171,s02171,s02171
2172,a16,a16,s02172
2173,s02173,s02173,s02173
2174,a05|a18,a05|a18,s02174
2175,a05|a19|a34,a05|a19|a34,s02175
2176,a07|a08|a10,s02176,a07|a08|a10
2177,a05|a14,a05|a14,s02177
2178,a05|a08|a10|a14,a05|a14,a08|a10
2179,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2180,a05|a08|a10|a14,a05|a14,a08|a10
2181,a05|a17,a05|a17,s02181
2182,a05|a17|a18,a05|a17|a18,s02182
2183,a05|a14,a05|a14,s02183
2184,s02184,s02184,s02184
2185,s02185,s02185,s02185
2186,s02186,s02186,s02186
2187,a05|a14|a21,a05|a14|a21,s02187
2188,a05|a14,a05|a14,s02188
2189,a16,a16,s02189
2190,a05,a05,s02190
2191,s02191,s02191,s02191
2192,s02192,s02192,s02192
2193,a01|a05,a01|a05,s02193
2194,a05,a05,s02194
2195,a05|a14|a21,a05|a14|a21,s02195
2196,a05,a05,s02196
2197,a01|a05|a14|a17|a23|a41,a01|a05|a14|a17|a23|a41,s02197
2198,a05|a17|a18,a05|a17|a18,s02198
2199,a05|a08|a10|a14,a05|a14,a08|a10
2200,s02200,s02200,s02200
2201,a16,a16,s02201
2202,a14,a14,s02202
2203,s02203,s02203,s02203
2204,a05|a14|a17,a05|a14|a17,s02204
2205,a14,a14,s02205
2206,a05|a14|a17|a41,a05|a14|a17|a41,s02206
2207,a05|a14|a36,a05|a14|a36,s02207
2208,a01|a05,a01|a05,s02208
2209,a05,a05,s02209
2210,a07|a08|a10,s02210,a07|a08|a10
2211,a14,a14,s02211
2212,s02212,s02212,s02212
2213,a05|a14,a05|a14,s02213
2214,a01|a19,a01|a19,s02214
2215,a05|a14,a05|a14,s02215
2216,s02216,s02216,s02216
2217,a05|a17,a05|a17,s02217
2218,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2219,s02219,s02219,s02219
2220,a05|a14,a05|a14,s02220
2221,a05|a14,a05|a14,s02221
2222,s02222,s02222,s02222
2223,a05,a05,s02223
2224,a05|a14,a05|a14,s02224
2225,s02225,s02225,s02225
2226,a05|a14|a16,a05|a14|a16,s02226
2227,a05,a05,s02227
2228,a05|a17,a05|a17,s02228
2229,a01|a19,a01|a19,s02229
2230,a17|a18,a17|a18,s02230
2231,a05|a14,a05|a14,s02231
2232,a05|a14,a05|a14,s02232
2233,a05|a36,a05|a36,s02233
2234,a05|a08|a14|a17,a05|a14|a17,a08
2235,s02235,s02235,s02235
2236,a07|a08|a10|a14,a14,a07|a08|a10
2237,a16,a16,s02237
2238,a05,a05,s02238
2239,a05|a14|a16,a05|a14|a16,s02239
2240,a05,a05,s02240
2241,a05|a14,a05|a14,s02241
2242,s02242,s02242,s02242
2243,a05|a17,a05|a17,s02243
2244,s02244,s02244,s02244
2245,a05|a14,a05|a14,s02245
2246,a05|a17,a05|a17,s02246
2247,s02247,s02247,s02247
2248,s02248,s02248,s02248
2249,s02249,s02249,s02249
2250,a01|a05,a01|a05,s02250
2251,a05|a17|a36,a05|a17|a36,s02251
2252,a01|a05,a01|a05,s02252
2253,a14,a14,s02253
2254,s02254,s02254,s02254
2255,a05|a14,a05|a14,s02255
2256,s02256,s02256,s02256
2257,a05|a36,a05|a36,s02257
2258,a14|a21,a14|a21,s02258
2259,a05,a05,s02259
2260,s02260,s02260,s02260
2261,s02261,s02261,s02261
2262,a05|a14|a41,a05|a14|a41,s02262
2263,s02263,s02263,s02263
2264,a14,a14,s02264
2265,a05|a19|a34,a05|a19|a34,s02265
2266,s02266,s02266,s02266
2267,s02267,s02267,s02267
2268,a05|a07|a10|a16,a05|a16,a07|a10
2269,a14|a21,a14|a21,s02269
2270,a05|a14,a05|a14,s02270
2271,s02271,s02271,s02271
2272,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2273,a05,a05,s02273
2274,a16,a16,s02274
2275,s02275,s02275,s02275
2276,a05|a17|a19,a05|a17|a19,s02276
2277,a05|a07|a10|a16,a05|a16,a07|a10
2278,a17,a17,s02278
2279,a05|a14|a36,a05|a14|a36,s02279
2280,s02280,s02280,s02280
2281,a05|a14|a36,a05|a14|a36,s02281
2282,s02282,s02282,s02282
2283,a07|a08|a10,s02283,a07|a08|a10
2284,a05|a14|a21,a05|a14|a21,s02284
2285,a14,a14,s02285
2286,a05|a14,a05|a14,s02286
2287,a05|a14|a16,a05|a14|a16,s02287
2288,s02288,s02288,s02288
2289,s02289,s02289,s02289
2290,a05|a14|a16,a05|a14|a16,s02290
2291,a05|a08|a10|a14,a05|a14,a08|a10
2292,a05|a14,a05|a14,s02292
2293,a05|a16,a05|a16,s02293
2294,a05|a19|a34,a05|a19|a34,s02294
2295,a05|a14,a05|a14,s02295
2296,a05|a14,a05|a14,s02296
2297,a05|a14|a16,a05|a14|a16,s02297
2298,a05|a14|a16,a05|a14|a16,s02298
2299,a17,a17,s02299
2300,a01|a05|a32,a01|a05|a32,s02300
2301,a05|a14,a05|a14,s02301
2302,s02302,s02302,s02302
2303,a05|a14|a36,a05|a14|a36,s02303
2304,s02304,s02304,s02304
2305,a05|a14,a05|a14,s02305
2306,s02306,s02306,s02306
2307,a05|a14|a16,a05|a14|a16,s02307
2308,a14,a14,s02308
2309,a05|a14,a05|a14,s02309
2310,a05|a14|a21,a05|a14|a21,s02310
2311,s02311,s02311,s02311
2312,a05|a14|a17,a05|a14|a17,s02312
2313,a05|a14|a17,a05|a14|a17,s02313
2314,s02314,s02314,s02314
2315,a05|a14,a05|a14,s02315
2316,a17|a18,a17|a18,s02316
2317,a05|a18,a05|a18,s02317
2318,s02318,s02318,s02318
2319,a05|a17,a05|a17,s02319
2320,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02320
2321,a05|a10|a14,a05|a14,a10
2322,s02322,s02322,s02322
2323,a07|a08|a10|a14,a14,a07|a08|a10
2324,a05|a17|a18,a05|a17|a18,s02324
2325,s02325,s02325,s02325
2326,a05|a17,a05|a17,s02326
2327,s02327,s02327,s02327
2328,s02328,s02328,s02328
2329,a05|a14,a05|a14,s02329
2330,s02330,s02330,s02330
2331,a05|a14,a05|a14,s02331
2332,a14,a14,s02332
2333,a16,a16,s02333
2334,s02334,s02334,s02334
2335,a14|a21,a14|a21,s02335
2336,a17|a18,a17|a18,s02336
2337,a14,a14,s02337
2338,a05|a19|a34,a05|a19|a34,s02338
2339,a05|a14,a05|a14,s02339
2340,a05|a17,a05|a17,s02340
2341,a05|a17|a36,a05|a17|a36,s02341
2342,a14|a21,a14|a21,s02342
2343,a03|a05|a17|a36,a03|a05|a17|a36,s02343
2344,a14,a14,s02344
2345,a07|a08|a10,s02345,a07|a08|a10
2346,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2347,a05|a17,a05|a17,s02347
2348,s02348,s02348,s02348
2349,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02349
2350,s02350,s02350,s02350
2351,s02351,s02351,s02351
2352,a14|a21,a14|a21,s02352
2353,s02353,s02353,s02353
2354,a05,a05,s02354
2355,a10|a14,a14,a10
2356,a05|a16,a05|a16,s02356
2357,s02357,s02357,s02357
2358,a05,a05,s02358
2359,a05,a05,s02359
2360,a05|a19|a34,a05|a19|a34,s02360
2361,a01|a05|a32,a01|a05|a32,s02361
2362,a05|a14|a16,a05|a14|a16,s02362
2363,a05|a17,a05|a17,s02363
2364,a05,a05,s02364
2365,a05|a14|a17|a41,a05|a14|a17|a41,s02365
2366,a16,a16,s02366
2367,s02367,s02367,s02367
2368,a05|a14|a36,a05|a14|a36,s02368
2369,a05|a14|a16,a05|a14|a16,s02369
2370,a05,a05,s02370
2371,a17|a18,a17|a18,s02371
2372,a05|a08|a10|a14,a05|a14,a08|a10
2373,s02373,s02373,s02373
2374,a05|a10|a14,a05|a14,a10
2375,s02375,s02375,s02375
2376,a05|a14|a16,a05|a14|a16,s02376
2377,a10|a14,a14,a10
2378,a05|a16,a05|a16,s02378
2379,s02379,s02379,s02379
2380,s02380,s02380,s02380
2381,a05|a14|a16,a05|a14|a16,s02381
2382,a14,a14,s02382
2383,s02383,s02383,s02383
2384,a05|a17,a05|a17,s02384
2385,a05,a05,s02385
2386,s02386,s02386,s02386
2387,a05|a17,a05|a17,s02387
2388,s02388,s02388,s02388
2389,a05|a17,a05|a17,s02389
2390,s02390,s02390,s02390
2391,a05|a14,a05|a14,s02391
2392,a07|a08|a10|a14,a14,a07|a08|a10
2393,s02393,s02393,s02393
2394,s02394,s02394,s02394
2395,s02395,s02395,s02395
2396,s02396,s02396,s02396
2397,a05|a16,a05|a16,s02397
2398,a05,a05,s02398
2399,a05,a05,s02399
2400,a05|a14|a17|a41,a05|a14|a17|a41,s02400
2401,s02401,s02401,s02401
2402,a05|a08|a14|a17,a05|a14|a17,a08
2403,s02403,s02403,s02403
2404,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02404
2405,s02405,s02405,s02405
2406,a16,a16,s02406
2407,s02407,s02407,s02407
2408,a17|a19,a17|a19,s02408
2409,s02409,s02409,s02409
2410,a05|a16,a05|a16,s02410
2411,s02411,s02411,s02411
2412,a14,a14,s02412
2413,a01|a05|a32,a01|a05|a32,s02413
2414,a05|a17,a05|a17,s02414
2415,a05|a17|a19,a05|a17|a19,s02415
2416,a05|a14,a05|a14,s02416
2417,a05|a14|a41,a05|a14|a41,s02417
2418,a05|a18,a05|a18,s02418
2419,a05|a18,a05|a18,s02419
2420,a05|a14,a05|a14,s02420
2421,s02421,s02421,s02421
2422,a05|a14,a05|a14,s02422
2423,a05,a05,s02423
2424,a05|a08|a10|a14,a05|a14,a08|a10
2425,a17|a18,a17|a18,s02425
2426,a05|a14,a05|a14,s02426
2427,a05|a14,a05|a14,s02427
2428,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02428
2429,a05|a17,a05|a17,s02429
2430,a05|a08|a10|a14,a05|a14,a08|a10
2431,s02431,s02431,s02431
2432,a01|a05|a32,a01|a05|a32,s02432
2433,a05|a14,a05|a14,s02433
2434,a07|a08|a10|a14,a14,a07|a08|a10
2435,a01|a05|a32,a01|a05|a32,s02435
2436,a05|a14|a21,a05|a14|a21,s02436
2437,a05|a14,a05|a14,s02437
2438,a05|a17|a36,a05|a17|a36,s02438
2439,a16,a16,s02439
2440,s02440,s02440,s02440
2441,a05|a14,a05|a14,s02441
2442,a03|a05|a17|a36,a03|a05|a17|a36,s02442
2443,a05|a14|a16,a05|a14|a16,s02443
2444,a05|a14|a16,a05|a14|a16,s02444
2445,s02445,s02445,s02445
2446,a05|a14,a05|a14,s02446
2447,a07|a08|a10,s02447,a07|a08|a10
2448,a07,s02448,a07
2449,s02449,s02449,s02449
2450,a16,a16,s02450
2451,a05|a14|a17|a41,a05|a14|a17|a41,s02451
2452,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02452
2453,a05|a17,a05|a17,s02453
2454,a05|a19|a34,a05|a19|a34,s02454
2455,s02455,s02455,s02455
2456,a14|a21,a14|a21,s02456
2457,a05|a17,a05|a17,s02457
2458,a05|a19|a34,a05|a19|a34,s02458
2459,a05|a14|a36,a05|a14|a36,s02459
2460,a05,a05,s02460
2461,a17,a17,s02461
2462,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2463,a05|a14,a05|a14,s02463
2464,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2465,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2466,a01|a19,a01|a19,s02466
2467,a05,a05,s02467
2468,s02468,s02468,s02468
2469,a05|a14,a05|a14,s02469
2470,a05|a14|a16,a05|a14|a16,s02470
2471,a05|a14|a17,a05|a14|a17,s02471
2472,a05,a05,s02472
2473,s02473,s02473,s02473
2474,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2475,a07,s02475,a07
2476,a01|a19,a01|a19,s02476
2477,a05|a14,a05|a14,s02477
2478,a05|a08|a10|a14,a05|a14,a08|a10
2479,a05|a17,a05|a17,s02479
2480,a05|a17,a05|a17,s02480
2481,a05|a14,a05|a14,s02481
2482,a14,a14,s02482
2483,a05|a14,a05|a14,s02483
2484,a01|a05|a32,a01|a05|a32,s02484
2485,a05|a14,a05|a14,s02485
2486,s02486,s02486,s02486
2487,a14,a14,s02487
2488,s02488,s02488,s02488
2489,a05,a05,s02489
2490,a14,a14,s02490
2491,s02491,s02491,s02491
2492,a05|a14|a21,a05|a14|a21,s02492
2493,a05|a14,a05|a14,s02493
2494,a05|a08|a10|a14,a05|a14,a08|a10
2495,a14|a21,a14|a21,s02495
2496,a05|a17|a18,a05|a17|a18,s02496
2497,s02497,s02497,s02497
2498,s02498,s02498,s02498
2499,a01|a19,a01|a19,s02499
2500,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02500
2501,a05|a14|a16,a05|a14|a16,s02501
2502,a08,s02502,a08
2503,a05,a05,s02503
2504,a05|a14,a05|a14,s02504
2505,a17|a18,a17|a18,s02505
2506,a05|a07|a10|a16,a05|a16,a07|a10
2507,a05|a17|a19,a05|a17|a19,s02507
2508,a10|a14,a14,a10
2509,a05,a05,s02509
2510,a14,a14,s02510
2511,a14,a14,s02511
2512,a14,a14,s02512
2513,s02513,s02513,s02513
2514,a05|a08|a10|a14,a05|a14,a08|a10
2515,s02515,s02515,s02515
2516,s02516,s02516,s02516
2517,a01|a05,a01|a05,s02517
2518,a08,s02518,a08
2519,a16,a16,s02519
2520,a17|a19,a17|a19,s02520
2521,a14|a21,a14|a21,s02521
2522,s02522,s02522,s02522
2523,a14,a14,s02523
2524,s02524,s02524,s02524
2525,a05|a08|a14|a17,a05|a14|a17,a08
2526,a14,a14,s02526
2527,a05|a08|a10|a14,a05|a14,a08|a10
2528,a05|a18,a05|a18,s02528
2529,s02529,s02529,s02529
2530,a14,a14,s02530
2531,s02531,s02531,s02531
2532,s02532,s02532,s02532
2533,s02533,s02533,s02533
2534,s02534,s02534,s02534
2535,a14,a14,s02535
2536,a05|a14,a05|a14,s02536
2537,s02537,s02537,s02537
2538,a03|a05|a17|a36,a03|a05|a17|a36,s02538
2539,s02539,s02539,s02539
2540,s02540,s02540,s02540
2541,a05|a08|a10|a14,a05|a14,a08|a10
2542,s02542,s02542,s02542
2543,s02543,s02543,s02543
2544,a17|a18,a17|a18,s02544
2545,a08,s02545,a08
2546,a05|a14|a16,a05|a14|a16,s02546
2547,s02547,s02547,s02547
2548,a01|a05|a32,a01|a05|a32,s02548
2549,a14|a21,a14|a21,s02549
2550,s02550,s02550,s02550
2551,s02551,s02551,s02551
2552,s02552,s02552,s02552
2553,s02553,s02553,s02553
2554,a17|a36,a17|a36,s02554
2555,a17|a19,a17|a19,s02555
2556,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02556
2557,s02557,s02557,s02557
2558,a08,s02558,a08
2559,a01|a05|a14|a17|a23|a41,a01|a05|a14|a17|a23|a41,s02559
2560,a05|a17|a18,a05|a17|a18,s02560
2561,s02561,s02561,s02561
2562,s02562,s02562,s02562
2563,a05|a14|a17,a05|a14|a17,s02563
2564,a14,a14,s02564
2565,a05|a14|a16,a05|a14|a16,s02565
2566,a05|a14|a16,a05|a14|a16,s02566
2567,a14|a21,a14|a21,s02567
2568,a14,a14,s02568
2569,s02569,s02569,s02569
2570,a05|a17|a19,a05|a17|a19,s02570
2571,a05|a10|a14,a05|a14,a10
2572,s02572,s02572,s02572
2573,a07,s02573,a07
2574,a16,a16,s02574
2575,s02575,s02575,s02575
2576,a05|a18,a05|a18,s02576
2577,a05|a14,a05|a14,s02577
2578,a05,a05,s02578
2579,a05|a14,a05|a14,s02579
2580,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02580
2581,s02581,s02581,s02581
2582,s02582,s02582,s02582
2583,a05|a14,a05|a14,s02583
2584,s02584,s02584,s02584
2585,a14,a14,s02585
2586,a05|a17,a05|a17,s02586
2587,s02587,s02587,s02587
2588,a05|a14|a17|a41,a05|a14|a17|a41,s02588
2589,a05|a08|a14|a17,a05|a14|a17,a08
2590,s02590,s02590,s02590
2591,a03|a05|a17|a36,a03|a05|a17|a36,s02591
2592,a05|a36,a05|a36,s02592
2593,a05,a05,s02593
2594,a05|a07|a10|a16,a05|a16,a07|a10
2595,a01|a05|a32,a01|a05|a32,s02595
2596,a14,a14,s02596
2597,a16,a16,s02597
2598,a05|a17,a05|a17,s02598
2599,a17|a18,a17|a18,s02599
2600,a16,a16,s02600
2601,a14,a14,s02601
2602,a05|a18,a05|a18,s02602
2603,a05,a05,s02603
2604,a05|a14|a41,a05|a14|a41,s02604
2605,a05|a14|a17,a05|a14|a17,s02605
2606,a01|a19,a01|a19,s02606
2607,a05|a14|a16,a05|a14|a16,s02607
2608,a05|a14|a16|a17|a22,a05|a14|a16|a17|a22,s02608
2609,a01|a05|a07|a08|a10|a14|a17,a01|a05|a14|a17,a07|a08|a10
2610,a05|a14,a05|a14,s02610
2611,a05|a14|a17,a05|a14|a17,s02611
2612,a05|a14,a05|a14,s02612
