egoid,apps_all
1641,a05|a14
1642,a05|a14|a16|a17|a22
1643,a14
1644,a01|a19
1645,a05|a14
1646,a05|a14|a17|a41
1647,a08
1648,a05|a14
1649,a17
1650,a01|a05|a07|a08|a10|a14|a17
1651,s01651
1652,s01652
1653,a05|a08|a14|a17
1654,a05|a17|a18
1655,a07|a08|a10
1656,a05
1657,a05|a19|a34
1658,a17
1659,a05|a14|a16
1660,a05|a14
1661,a05|a17
1662,a05
1663,a05|a17|a36
1664,s01664
1665,a05
1666,a07|a08|a10|a14
1667,s01667
1668,a05|a14
1669,a05|a14|a16
1670,a16
1671,s01671
1672,a05|a14
1673,s01673
1674,a05
1675,s01675
1676,a05|a14|a17|a41
1677,a17
1678,a05
1679,s01679
1680,s01680
1681,a14
1682,a05|a14|a17|a41
1683,s01683
1684,a05|a08|a14|a17
1685,a05|a36
1686,s01686
1687,a17|a18
1688,s01688
1689,a14
1690,a05|a36
1691,a14
1692,a05|a17
1693,a01|a05|a32
1694,a05|a14|a36
1695,a05|a18
1696,a05|a17
1697,a14
1698,s01698
1699,a17|a36
1700,a05
1701,s01701
1702,a05|a14
1703,a17|a36
1704,a05|a18
1705,a05|a14|a36
1706,a17
1707,a05|a14
1708,a17|a19
1709,a05
1710,a05|a14
1711,s01711
1712,s01712
1713,s01713
1714,a16
1715,a05|a14
1716,s01716
1717,a14
1718,a17|a19
1719,a14
1720,s01720
1721,a14
1722,a05|a14|a36
1723,s01723
1724,s01724
1725,a05|a14
1726,a05|a18
1727,s01727
1728,s01728
1729,s01729
1730,s01730
1731,a05
1732,s01732
1733,s01733
1734,a05|a08|a14|a17
1735,a01|a19
1736,a05|a14
1737,s01737
1738,a05|a14|a16
1739,a05|a17
1740,a17|a18
1741,a14
1742,a05|a14|a16
1743,a05|a17
1744,a01|a05|a14|a17|a23|a41
1745,a05|a17|a19
1746,s01746
1747,a05|a14
1748,a05|a14|a16
1749,a07|a08|a10|a14
1750,a01|a05
1751,s01751
1752,a14
1753,s01753
1754,s01754
1755,a10|a14
1756,a05|a14|a16|a17|a22
1757,a08
1758,a05|a18
1759,s01759
1760,a05|a14|a16
1761,a05|a19|a34
1762,s01762
1763,a14
1764,a05
1765,a05|a07|a10|a16
1766,a14
1767,a05|a14
1768,s01768
1769,a05|a14|a41
1770,a05|a18
1771,a05|a17|a19
1772,a05|a17
1773,a16
1774,s01774
1775,a17|a36
1776,s01776
1777,a05|a19|a34
1778,s01778
1779,a05|a14
1780,a05|a14
1781,a16
1782,a05|a18
1783,a05
1784,a07
1785,a05|a18
1786,s01786
1787,a08
1788,a05|a17
1789,s01789
1790,a10|a14
1791,a08
1792,s01792
1793,a05|a19|a34
1794,a14
1795,a05|a14|a16
1796,s01796
1797,s01797
1798,a05|a17
1799,a05|a08|a14|a17
1800,a05|a10|a14
1801,a05
1802,a17|a18
1803,s01803
1804,s01804
1805,s01805
1806,a05|a14
1807,a05|a14|a17|a41
1808,s01808
1809,a05|a14
1810,a05|a14|a16
1811,a05|a14
1812,a01|a05|a07|a08|a10|a14|a17
1813,a05|a19|a34
1814,s01814
1815,a05|a14
1816,s01816
1817,a05|a17
1818,a05|a08|a10|a14
1819,s01819
1820,a05|a14
1821,a10|a14
1822,s01822
1823,s01823
1824,a01|a05|a32
1825,a05|a14|a36
1826,a05|a19|a34
1827,a05|a14
1828,s01828
1829,a14|a21
1830,a14
1831,s01831
1832,s01832
1833,s01833
1834,a05|a10|a14
1835,s01835
1836,s01836
1837,s01837
1838,a05|a14
1839,s01839
1840,a08
1841,a14
1842,a05|a14
1843,a17|a36
1844,a05|a14|a36
1845,a05|a17|a18
1846,s01846
1847,a17
1848,s01848
1849,a14
1850,a05|a16
1851,s01851
1852,a05|a08|a14|a17
1853,a14
1854,s01854
1855,a14
1856,s01856
1857,a05|a08|a10|a14
1858,s01858
1859,a14
1860,a16
1861,s01861
1862,a05|a14|a16
1863,a05|a14
1864,a05|a17|a19
1865,a05|a14
1866,a07|a08|a10|a14
1867,s01867
1868,a14|a21
1869,a05|a17|a18
1870,a01|a19
1871,a17|a18
1872,a05|a14
1873,a07|a08|a10|a14
1874,a05|a14
1875,a05|a18
1876,a05|a17
1877,a05|a17
1878,a05|a14
1879,s01879
1880,a14
1881,a03|a05|a17|a36
1882,s01882
1883,s01883
1884,a01|a05|a14|a17|a23|a41
1885,a05
1886,a17|a18
1887,s01887
1888,a14
1889,s01889
1890,a01|a05
1891,a05|a36
1892,a01|a19
1893,a17|a19
1894,a17
1895,a05|a16
1896,a07
1897,a05|a14|a16
1898,a05|a14
1899,a05|a14
1900,a17|a19
1901,a05|a14|a16
1902,a05|a17
1903,s01903
1904,s01904
1905,s01905
1906,s01906
1907,s01907
1908,a01|a05|a07|a08|a10|a14|a17
1909,s01909
1910,s01910
1911,a05|a14|a16
1912,a05|a14
1913,a05|a14|a36
1914,a01|a05
1915,s01915
1916,a05|a14
1917,a17|a18
1918,s01918
1919,a05
1920,a05
1921,a05|a18
1922,a05|a19|a34
1923,a08
1924,s01924
1925,s01925
1926,a05
1927,a05
1928,a05|a16
1929,a07
1930,a05
1931,a05|a18
1932,a17|a18
1933,a01|a19
1934,a05|a14
1935,a01|a05|a14|a17|a23|a41
1936,a05|a14|a16
1937,a05|a17
1938,s01938
1939,a05|a14|a16
1940,a05
1941,a05|a07|a10|a16
1942,a05|a14
1943,s01943
1944,a05|a18
1945,a05|a07|a10|a16
1946,s01946
1947,a05|a14|a17|a41
1948,s01948
1949,a07|a08|a10|a14
1950,s01950
1951,a14
1952,s01952
1953,a05|a14|a21
1954,a05|a17
1955,a17|a18
1956,s01956
1957,a05|a14|a16
1958,a05|a17
1959,a05
1960,a05|a14
1961,a16
1962,a05|a14
1963,s01963
1964,s01964
1965,s01965
1966,a05|a14|a16
1967,a05|a17|a36
1968,a05|a17|a18
1969,a17|a18
1970,a17|a18
1971,a05|a10|a14
1972,s01972
1973,a17|a18
1974,s01974
1975,a05|a14|a16
1976,a05|a14|a16
1977,a05|a14|a16
1978,s01978
1979,a14|a21
1980,a05|a14|a16
1981,a05|a18
1982,a05|a18
1983,a01|a19
1984,a05|a14|a21
1985,s01985
1986,a17|a18
1987,s01987
1988,s01988
1989,s01989
1990,a14
1991,s01991
1992,s01992
1993,a05|a14
1994,a05
1995,a05|a17
1996,a05|a14|a16|a17|a22
1997,a05|a14|a36
1998,a01|a05|a07|a08|a10|a14|a17
1999,a07|a08|a10
2000,s02000
2001,s02001
2002,a05|a14|a16
2003,a05|a17
2004,s02004
2005,a01|a19
2006,a05
2007,a05|a14|a21
2008,a05|a14
2009,a17|a18
2010,s02010
2011,a05|a14|a16
2012,a10|a14
2013,a03|a05|a17|a36
2014,a05|a14|a16
2015,a05
2016,a07|a08|a10|a14
2017,s02017
2018,s02018
2019,s02019
2020,a05|a14|a41
2021,s02021
2022,s02022
2023,s02023
2024,s02024
2025,s02025
2026,a05
2027,a14
2028,a05|a17
2029,a05|a14|a36
2030,s02030
2031,a05|a08|a10|a14
2032,a01|a05|a14|a17|a23|a41
2033,a05|a14|a41
2034,a05|a17|a18
2035,a05|a14|a17
2036,s02036
2037,s02037
2038,a05|a08|a14|a17
2039,a07
2040,a05|a17
2041,a17
2042,a05|a14|a16
2043,a05|a14|a16
2044,a05
2045,a05|a17
2046,a05
2047,a05|a14|a16|a17|a22
2048,s02048
2049,a05
2050,s02050
2051,s02051
2052,s02052
2053,s02053
2054,s02054
2055,a16
2056,a05|a14
2057,a05|a14|a16
2058,s02058
2059,a05|a14|a16
2060,a05|a14|a36
2061,s02061
2062,a05|a17|a36
2063,s02063
2064,a05|a14|a16
2065,s02065
2066,a14
2067,a05
2068,a17|a18
2069,s02069
2070,a05|a14
2071,s02071
2072,a05|a07|a10|a16
2073,a05|a10|a14
2074,a17|a18
2075,a05|a14
2076,a05|a14|a16
2077,s02077
2078,a10|a14
2079,a05|a17|a36
2080,s02080
2081,s02081
2082,s02082
2083,a05|a14
2084,s02084
2085,a05|a14|a21
2086,s02086
2087,a17|a19
2088,a17|a18
2089,s02089
2090,a08
2091,s02091
2092,a05|a17|a19
2093,s02093
2094,a05|a17|a18
2095,a08
2096,a05|a07|a10|a16
2097,a05
2098,a07
2099,s02099
2100,s02100
2101,s02101
2102,a07|a08|a10|a14
2103,a05|a17
2104,a17
2105,s02105
2106,s02106
2107,a08
2108,a05|a17
2109,s02109
2110,s02110
2111,a05|a08|a14|a17
2112,s02112
2113,a05|a17
2114,a14|a21
2115,s02115
2116,a05|a17
2117,s02117
2118,a01|a05
2119,a17|a18
2120,a01|a19
2121,a05
2122,a10|a14
2123,a10|a14
2124,a05|a08|a10|a14
2125,a01|a19
2126,a14
2127,a14
2128,a05
2129,a01|a05
2130,a05|a14
2131,a05|a14
2132,a14
2133,a14
2134,a05|a14
2135,a05|a14|a16
2136,a05
2137,a17|a19
2138,s02138
2139,s02139
2140,s02140
2141,a05|a17|a36
2142,a17|a36
2143,a17|a36
2144,s02144
2145,a05|a14|a17|a41
2146,a14
2147,s02147
2148,s02148
2149,s02149
2150,a14
2151,a05|a16
2152,a05
2153,a05|a36
2154,a05|a08|a10|a14
2155,a07|a08|a10
2156,a05|a14
2157,s02157
2158,a03|a05|a17|a36
2159,a07|a08|a10|a14
2160,a05|a14
2161,a08
2162,a05|a17|a36
2163,a05|a17
2164,s02164
2165,a05|a14|a21
2166,s02166
2167,a17
2168,s02168
2169,a07|a08|a10|a14
2170,a05|a14|a17|a41
2171,s02171
2172,a05|a17|a36
2173,s02173
2174,s02174
2175,a05|a08|a10|a14
2176,a01|a05|a14|a17|a23|a41
2177,a05
2178,a14
2179,s02179
2180,a05|a14
2181,a08
2182,a05
2183,s02183
2184,s02184
2185,s02185
2186,a05|a17
2187,a14
2188,a01|a05|a32
2189,a17|a36
2190,s02190
2191,s02191
2192,s02192
2193,a05|a14
2194,a05|a17
2195,s02195
2196,s02196
2197,s02197
2198,s02198
2199,a14
2200,a05|a14|a16|a17|a22
2201,s02201
2202,s02202
2203,s02203
2204,a05|a17
2205,a05|a14|a36
2206,s02206
2207,a05|a17
2208,a17|a18
2209,a05|a19|a34
2210,s02210
2211,a05|a14|a16
2212,a01|a19
2213,s02213
2214,a17|a19
2215,s02215
2216,a14
2217,a05|a17
2218,a14
2219,a05|a14|a16
2220,s02220
2221,a08
2222,a05|a17
2223,a14|a21
2224,a05|a18
2225,s02225
2226,a17|a19
2227,a07
2228,a05|a16
2229,s02229
2230,a08
2231,a17|a18
2232,s02232
2233,s02233
2234,s02234
2235,s02235
2236,s02236
2237,a08
2238,a10|a14
2239,a05|a17|a18
2240,a14
2241,a05|a17
2242,a03|a05|a17|a36
2243,a01|a05
2244,a16
2245,a05|a14
2246,s02246
2247,a08
2248,a07
2249,s02249
2250,s02250
2251,s02251
2252,a05|a17|a18
2253,a05|a17
2254,a14
2255,a05|a17|a18
2256,s02256
2257,a05
2258,a10|a14
2259,a05|a17
2260,s02260
2261,s02261
2262,s02262
2263,a01|a05|a07|a08|a10|a14|a17
2264,a01|a19
2265,a05|a08|a14|a17
2266,s02266
2267,a05|a14
2268,a05
2269,s02269
2270,a05|a08|a14|a17
2271,a07
2272,a05|a14|a16
2273,a05
2274,a14
2275,a05|a14|a17|a41
2276,s02276
2277,a05|a16
2278,a05|a36
2279,a05|a18
2280,s02280
2281,a05|a17
2282,a17|a36
2283,a05|a17
2284,a05|a14|a17
2285,a05|a14|a16
2286,s02286
2287,s02287
2288,a05|a07|a10|a16
2289,s02289
2290,s02290
2291,a05|a17
2292,a05|a17
2293,a05
2294,a08
2295,a05|a14
2296,a05|a17
2297,a05|a14|a16
2298,a05|a14
2299,a10|a14
2300,a07|a08|a10|a14
2301,s02301
2302,s02302
2303,s02303
2304,a05
2305,a17|a36
2306,a08
2307,a05|a17
2308,s02308
2309,s02309
2310,a05|a19|a34
2311,a05|a19|a34
2312,a05|a14|a36
2313,a07|a08|a10|a14
2314,s02314
2315,s02315
2316,a17|a18
2317,a05|a14|a16|a17|a22
2318,a05|a10|a14
2319,a05|a17
2320,a05|a17|a18
2321,a05|a14
2322,a05
2323,a05|a17
2324,s02324
2325,a05|a36
2326,s02326
2327,a05|a14|a16
2328,a05
2329,a01|a05|a07|a08|a10|a14|a17
2330,a05|a08|a10|a14
2331,a01|a05|a32
2332,a05|a17
2333,a05|a10|a14
2334,a05
2335,a05|a16
2336,a05|a14|a16
2337,s02337
2338,a08
2339,s02339
2340,s02340
2341,s02341
2342,a05|a17
2343,a05|a17|a18
2344,a05|a14|a16
2345,a05|a14|a16
2346,a05|a17|a19
2347,a03|a05|a17|a36
2348,a05|a14
2349,s02349
2350,s02350
2351,a05|a14
2352,s02352
2353,s02353
2354,a05|a14
2355,a07|a08|a10|a14
2356,a01|a19
2357,a05
2358,s02358
2359,s02359
2360,s02360
2361,a05|a16
2362,s02362
2363,a05
2364,a05|a36
2365,s02365
2366,s02366
2367,s02367
2368,a14
2369,a14
2370,a07|a08|a10|a14
2371,a05|a19|a34
2372,a05|a14|a36
2373,a01|a19
2374,s02374
2375,s02375
2376,s02376
2377,a03|a05|a17|a36
2378,s02378
2379,a05|a14
2380,s02380
2381,s02381
2382,a01|a05|a07|a08|a10|a14|a17
2383,a17|a19
2384,a05|a08|a10|a14
2385,s02385
2386,a05|a17
2387,a05|a14
2388,a17|a18
2389,a01|a05
2390,a05|a14
2391,a14
2392,a05
2393,s02393
2394,s02394
2395,a07|a08|a10|a14
2396,s02396
2397,s02397
2398,a05|a17|a36
2399,a05|a14
2400,s02400
2401,a05|a14|a16
2402,a05|a17
2403,a05|a17
2404,a05|a18
2405,a05|a14|a16
2406,a01|a19
2407,a17|a36
2408,a01|a05|a14|a17|a23|a41
2409,a05|a14
2410,a05|a14
2411,s02411
2412,s02412
2413,a05|a14|a17
2414,a05|a14|a41
2415,a05|a14
2416,a05|a14
2417,a01|a05|a14|a17|a23|a41
2418,s02418
2419,s02419
2420,s02420
2421,s02421
2422,a14
2423,s02423
2424,a05
2425,a05|a14
2426,a05|a14|a41
2427,a05|a17|a19
2428,a05
2429,a17|a36
2430,a07|a08|a10|a14
2431,a05|a17|a18
2432,s02432
2433,a05|a18
2434,s02434
2435,a05|a17
2436,a14
2437,a14
2438,s02438
2439,a05|a19|a34
2440,a05
2441,a05|a08|a14|a17
2442,a14|a21
2443,a05|a17
2444,s02444
2445,a05|a14|a16|a17|a22
2446,a05|a14|a36
2447,s02447
2448,a05|a17|a18
2449,s02449
2450,s02450
2451,s02451
2452,a01|a05
2453,a05|a14|a21
2454,a05|a14
2455,a14
2456,a05|a14|a16|a17|a22
2457,s02457
2458,s02458
2459,s02459
2460,s02460
2461,a17|a19
2462,a05|a17
2463,a16
2464,s02464
2465,a05|a14|a41
2466,a05|a17|a18
2467,a05|a17|a19
2468,s02468
2469,a01|a05
2470,s02470
2471,a05|a14|a16
2472,a14
2473,a05|a14|a17
2474,a16
2475,a05
2476,a05|a17|a36
2477,a05|a17
2478,a05|a17|a18
2479,a08
2480,s02480
2481,s02481
2482,a01|a05|a14|a17|a23|a41
2483,a05|a14|a16
2484,s02484
2485,s02485
2486,a17
2487,s02487
2488,s02488
2489,a17|a19
2490,a05|a14|a16
2491,a07|a08|a10|a14
2492,s02492
2493,a05|a14|a16|a17|a22
2494,a05|a17|a19
2495,s02495
2496,s02496
2497,s02497
2498,a14
2499,a05|a14
2500,s02500
2501,a05|a14
2502,s02502
2503,s02503
2504,a14|a21
2505,s02505
2506,s02506
2507,a05|a14
2508,a07|a08|a10|a14
2509,s02509
2510,a17
2511,a05|a14|a41
2512,a10|a14
2513,s02513
2514,s02514
2515,a17|a36
2516,a05|a18
2517,a05|a08|a14|a17
2518,a17|a18
2519,s02519
2520,a05
2521,s02521
2522,a05|a16
2523,a07|a08|a10|a14
2524,a08
2525,s02525
2526,s02526
2527,a17|a36
2528,s02528
2529,s02529
2530,a17|a36
2531,a14
2532,a05|a14|a16
2533,s02533
2534,a05|a16
2535,a05
2536,a14
2537,a16
2538,s02538
2539,s02539
2540,s02540
2541,s02541
2542,a10|a14
2543,a05|a10|a14
2544,a05|a36
2545,s02545
2546,s02546
2547,s02547
2548,a01|a05
2549,s02549
2550,s02550
2551,a05|a14
2552,s02552
2553,a05|a14
2554,s02554
2555,a17|a18
2556,a01|a19
2557,a16
2558,a05|a14
2559,a05|a14|a16
2560,a05|a14
2561,s02561
2562,s02562
2563,s02563
2564,s02564
2565,a05|a14
2566,a05|a14
2567,a05|a10|a14
2568,a10|a14
2569,a05|a14
2570,a17|a19
2571,a08
2572,s02572
2573,a07|a08|a10|a14
2574,a05|a14|a16
2575,s02575
2576,a05
2577,a14
2578,s02578
2579,a01|a05|a07|a08|a10|a14|a17
2580,a05|a08|a14|a17
2581,s02581
2582,a05|a19|a34
2583,a17|a19
2584,s02584
2585,a05|a17
2586,a07|a08|a10
2587,a05|a14|a16
2588,a14
2589,a05|a08|a14|a17
2590,a05|a17
2591,a17
2592,a17|a18
2593,a05|a14|a16
2594,a05|a14|a17|a41
2595,a05
2596,a01|a05|a32
2597,a17|a36
2598,a05|a14|a16
2599,a17
2600,s02600
2601,a17|a18
2602,a05|a14
2603,a05|a14|a41
2604,s02604
2605,a05|a36
2606,a05|a08|a10|a14
2607,a05
2608,s02608
2609,a05|a14
2610,a05|a17|a36
2611,s02611
2612,s02612
2613,s02613
2614,s02614
2615,a05|a08|a10|a14
2616,a05|a07|a10|a16
2617,a05|a10|a14
2618,a03|a05|a17|a36
2619,a05|a08|a10|a14
2620,s02620
2621,a05|a17
2622,a14
2623,s02623
2624,a05|a07|a10|a16
2625,s02625
2626,a05
2627,a05
2628,a03|a05|a17|a36
2629,a05|a17|a18
2630,s02630
2631,a05|a14
2632,a05|a14|a16|a17|a22
2633,a05|a14
2634,a01|a05|a14|a17|a23|a41
2635,a05|a14
2636,a16
2637,a05|a14
2638,s02638
2639,a05|a14|a17
2640,a14|a21
2641,a05|a14|a36
2642,a05|a17
2643,a05|a17
2644,s02644
2645,a05|a17|a36
2646,a14|a21
2647,a05|a14
2648,s02648
2649,a05|a14
2650,s02650
2651,a17
2652,a05|a14|a16
2653,a05|a18
2654,a05|a08|a10|a14
2655,a14
2656,a05|a36
2657,a05|a14
2658,a01|a05
2659,a17|a18
2660,a05|a14|a17
2661,s02661
2662,s02662
2663,s02663
2664,a05|a07|a10|a16
2665,a05|a18
2666,a05|a14|a16
2667,a05
2668,a05|a14
2669,a05|a14|a16
2670,a05|a19|a34
2671,a05|a36
2672,a05|a14
2673,a17|a18
2674,a05|a14|a16
2675,a10|a14
2676,a05|a36
2677,a05|a19|a34
2678,a05
2679,a05|a14|a16
2680,a05|a36
2681,s02681
2682,a14
2683,s02683
2684,a05|a17|a36
2685,a17|a19
2686,a16
2687,a05|a14|a21
2688,a05|a14
2689,a14
2690,a01|a05|a14|a17|a23|a41
2691,a01|a05|a14|a17|a23|a41
2692,s02692
2693,a05|a14
2694,s02694
2695,a05|a17
2696,a05|a17|a19
2697,a05|a14|a17|a41
2698,a08
2699,a01|a19
2700,a05|a14
2701,a17|a18
2702,a05|a14
2703,a05|a14|a17|a41
2704,a05|a14|a21
2705,a05
2706,a17
2707,s02707
2708,s02708
2709,a14
2710,a01|a05|a32
2711,a01|a05
2712,a05|a14|a36
2713,a05|a14
2714,a05|a14|a17|a41
2715,a05|a10|a14
2716,a17|a18
2717,a05|a14|a16
2718,a05|a17|a18
2719,s02719
2720,a05|a17|a18
2721,a05|a14
2722,a08
2723,s02723
2724,s02724
2725,a05
2726,s02726
2727,a05|a07|a10|a16
2728,a05|a17
2729,a05
2730,a14
2731,a05
2732,a05
2733,a05|a17
2734,a17
2735,a10|a14
2736,s02736
2737,s02737
2738,a14
2739,a05|a14
2740,a05|a08|a10|a14
2741,a05|a17
2742,a05|a14|a16
2743,a17
2744,a05|a14
2745,a17|a19
2746,a05|a14|a21
2747,s02747
2748,a05|a14|a21
2749,a05
2750,s02750
2751,a14
2752,s02752
2753,s02753
2754,a05|a14|a21
2755,s02755
2756,s02756
2757,s02757
2758,s02758
2759,a17|a18
2760,s02760
2761,s02761
2762,a07
2763,s02763
2764,s02764
2765,a05|a14|a16
2766,s02766
2767,a05|a14|a16|a17|a22
2768,a05|a17
2769,a01|a05
2770,a05|a14|a21
2771,s02771
2772,a17
2773,a05|a36
2774,a05|a14|a16
2775,a05|a36
2776,a05
2777,a05|a36
2778,a01|a05|a32
2779,a05|a07|a10|a16
2780,s02780
2781,a05
2782,a05|a14|a36
2783,a07|a08|a10|a14
2784,s02784
2785,s02785
2786,a05|a14|a16
2787,a05|a14
2788,s02788
2789,s02789
2790,a05|a14|a16
2791,a05|a17|a18
2792,s02792
2793,a05|a16
2794,a05|a18
2795,a01|a05|a32
2796,s02796
2797,a05|a17
2798,a10|a14
2799,a16
2800,s02800
2801,s02801
2802,a14
2803,a05
2804,a17|a18
2805,s02805
2806,a17
2807,a08
2808,s02808
2809,a05|a16
2810,s02810
2811,a05
2812,a05
2813,a01|a19
2814,a10|a14
2815,a05|a14|a17|a41
2816,a05|a14|a21
2817,s02817
2818,s02818
2819,a05|a19|a34
2820,a05|a16
2821,a05|a14|a16
2822,s02822
2823,s02823
2824,a05|a10|a14
2825,a05|a19|a34
2826,s02826
2827,s02827
2828,s02828
2829,s02829
2830,a16
2831,s02831
2832,s02832
2833,s02833
2834,s02834
2835,a10|a14
2836,s02836
2837,a14
2838,a05
2839,a07|a08|a10
2840,a05|a14|a16
2841,s02841
2842,a14
2843,a07|a08|a10|a14
2844,s02844
2845,a05|a14|a36
2846,a05|a36
2847,a05|a17
2848,a05|a14|a16
2849,s02849
2850,a14
2851,a14
2852,s02852
2853,a17|a36
2854,a05|a14
2855,a05|a14
2856,a01|a05|a07|a08|a10|a14|a17
2857,a05|a14|a17|a41
2858,a05|a08|a14|a17
2859,a17|a18
2860,a05|a14
2861,a05|a17|a19
2862,a05|a14|a16|a17|a22
2863,s02863
2864,s02864
2865,a05|a14|a17
2866,a05|a14|a16
2867,a05
2868,s02868
2869,a05|a14|a16|a17|a22
2870,a14|a21
2871,a05|a14
2872,a05|a08|a10|a14
2873,s02873
2874,s02874
2875,a17
2876,a05|a14|a16|a17|a22
2877,a05|a17|a18
2878,a05|a14|a16
2879,s02879
2880,a05|a14
2881,a05|a17
2882,s02882
2883,s02883
2884,a05|a17
2885,a05|a17|a18
2886,s02886
2887,s02887
2888,a17|a18
2889,s02889
2890,a05|a14
2891,a05|a07|a10|a16
2892,s02892
2893,a01|a05
2894,a17|a36
2895,s02895
2896,a01|a05
2897,a05|a14
2898,a05|a36
2899,a05|a14|a17
2900,a05|a17
2901,s02901
2902,a05|a17
2903,a05|a08|a14|a17
2904,a05|a17
2905,s02905
2906,a05|a08|a10|a14
2907,s02907
2908,s02908
2909,a17|a18
2910,s02910
2911,a05|a17|a19
2912,a14
2913,s02913
2914,a07
2915,a14
2916,a05
2917,s02917
2918,a05|a14
2919,a01|a05|a32
2920,s02920
2921,s02921
2922,a05
2923,a07|a08|a10|a14
2924,s02924
2925,a05|a17
2926,a17|a18
2927,s02927
2928,s02928
2929,a05|a07|a10|a16
2930,a01|a05|a07|a08|a10|a14|a17
2931,a01|a05|a07|a08|a10|a14|a17
2932,a07|a08|a10
2933,s02933
2934,s02934
2935,a05
2936,s02936
2937,a05|a17
2938,a07|a08|a10
2939,a05|a17
2940,a05|a14
2941,s02941
2942,a14
2943,s02943
2944,s02944
2945,a05
2946,a05
2947,a05|a19|a34
2948,s02948
2949,s02949
2950,s02950
2951,s02951
2952,a05|a14|a16|a17|a22
2953,a10|a14
2954,a05|a14|a36
2955,s02955
2956,a05|a14
2957,a05|a17|a18
2958,s02958
2959,s02959
2960,a01|a05|a32
2961,a08
2962,a10|a14
2963,a05|a36
2964,a17|a36
2965,s02965
2966,a05|a14
2967,s02967
2968,a01|a05|a32
2969,a05|a19|a34
2970,a05|a14
2971,s02971
2972,s02972
2973,s02973
2974,a05|a17
2975,a05|a17
2976,a05|a18
2977,a05|a14|a36
2978,s02978
2979,a05|a14|a16|a17|a22
2980,a05|a14
2981,a07
2982,a05|a14|a16
2983,a08
2984,a01|a05|a32
2985,s02985
2986,a05
2987,s02987
2988,a14
2989,s02989
2990,s02990
2991,a05|a14
2992,s02992
2993,s02993
2994,a17|a36
2995,a01|a05
2996,s02996
2997,s02997
2998,s02998
2999,s02999
3000,a05|a17
3001,s03001
3002,a10|a14
3003,a01|a05
3004,a01|a05|a07|a08|a10|a14|a17
3005,a05|a14|a21
3006,a05
3007,a05|a17
3008,s03008
3009,a01|a05|a14|a17|a23|a41
3010,a05
3011,a17|a36
3012,a05|a14
3013,a05|a10|a14
3014,a05|a17
3015,s03015
3016,a05|a17
3017,s03017
3018,a07|a08|a10|a14
3019,a05|a08|a10|a14
3020,s03020
3021,s03021
3022,a05|a14|a16
3023,a05|a36
3024,a17|a36
3025,a05|a08|a14|a17
3026,a05|a17
3027,a05|a17
3028,s03028
3029,a07|a08|a10|a14
3030,a05|a14|a16
3031,a05|a14
3032,a01|a05|a07|a08|a10|a14|a17
3033,a05|a14|a36
3034,s03034
3035,a01|a05
3036,a07
3037,s03037
3038,s03038
3039,s03039
3040,a05|a14|a36
3041,s03041
3042,a05
3043,a05|a14
3044,a03|a05|a17|a36
3045,a05
3046,s03046
3047,a17|a18
3048,a01|a05
3049,a17
3050,a14
3051,a16
3052,a05|a08|a14|a17
3053,s03053
3054,s03054
3055,s03055
3056,a14
3057,a05|a14|a16
3058,s03058
3059,s03059
3060,a05|a14|a16
3061,s03061
3062,s03062
3063,a05|a17
3064,a01|a05|a32
3065,s03065
3066,a05
3067,a05|a14|a36
3068,a14
3069,s03069
3070,a14
3071,a05
3072,a17|a36
3073,a17|a18
3074,s03074
3075,s03075
3076,a05|a14|a36
3077,a10|a14
3078,a05|a14|a16
3079,a07|a08|a10|a14
3080,s03080
3081,s03081
3082,a05|a17|a18
3083,a05
3084,a05|a17|a19
3085,a14
3086,a17
3087,a10|a14
3088,s03088
3089,a17|a19
3090,s03090
3091,s03091
3092,s03092
3093,s03093
3094,s03094
3095,s03095
3096,a14
3097,a05|a08|a14|a17
3098,s03098
3099,s03099
3100,a01|a05|a07|a08|a10|a14|a17
3101,s03101
3102,a05|a19|a34
3103,s03103
3104,a05|a14
3105,s03105
3106,s03106
3107,a05|a14
3108,s03108
3109,a14
3110,a05|a36
3111,a17|a18
3112,a05
3113,a17
3114,s03114
3115,s03115
3116,s03116
3117,a05|a19|a34
3118,a05|a17
3119,s03119
3120,a05|a14|a16
3121,a01|a05|a14|a17|a23|a41
3122,s03122
3123,s03123
3124,s03124
3125,s03125
3126,a05|a14|a36
3127,a17|a18
3128,a05|a14
3129,a16
3130,a08
3131,a05|a14
3132,s03132
3133,a05|a14|a21
3134,a05|a14|a16
3135,a17|a36
3136,a05|a07|a10|a16
3137,a17|a18
3138,a07
3139,s03139
3140,a05|a14
3141,a01|a05|a14|a17|a23|a41
3142,a05|a14|a36
3143,a05|a14
3144,s03144
3145,a01|a19
3146,a05
3147,a05|a14|a16
3148,a05|a14
3149,s03149
3150,s03150
3151,s03151
3152,a05|a14|a16
3153,a05|a14|a16|a17|a22
3154,a01|a05|a32
3155,a05|a36
3156,a07|a08|a10|a14
3157,s03157
3158,a16
3159,s03159
3160,s03160
3161,s03161
3162,a01|a05|a32
3163,a05|a18
3164,a05|a36
3165,a05|a14|a41
3166,s03166
3167,a05|a17
3168,s03168
3169,s03169
3170,a05|a17
3171,a03|a05|a17|a36
3172,a05|a18
3173,a07|a08|a10|a14
3174,s03174
3175,a05|a14
3176,s03176
3177,a05|a14
3178,a14
3179,a05|a19|a34
3180,a05
3181,a05|a08|a14|a17
3182,a17
3183,s03183
