egoid,venues_all,venues_dating,venues_nondating
3125,v0520|v0974|v1043,v0520|v0974,v1043
3126,v0259|v0831|v0873,s03126,v0259|v0831|v0873
3127,v0278|v0974,v0278|v0974,s03127
3128,v0050|v0087|v0718|v0769|v0886|v1196,v0718|v0769,v0050|v0087|v0886|v1196
3129,v0198|v0960,s03129,v0198|v0960
3130,s03130,s03130,s03130
3131,s03131,s03131,s03131
3132,v0337,v0337,s03132
3133,v0348|v0994,v0348|v0994,s03133
3134,v0992,v0992,s03134
3135,s03135,s03135,s03135
3136,v0071|v0790|v0992,v0992,v0071|v0790
3137,v0262|v0974,v0974,v0262
3138,v0917|v0955|v0994,v0917|v0955|v0994,s03138
3139,v0391|v0399|v0432|v0665|v1148,s03139,v0391|v0399|v0432|v0665|v1148
3140,v0087|v0244|v0247|v0953|v0963|v1013,v0247|v0963|v1013,v0087|v0244|v0953
3141,v0665|v0993,v0993,v0665
3142,v0050|v0994,v0994,v0050
3143,s03143,s03143,s03143
3144,v0917,v0917,s03144
3145,v0917|v0979,v0917|v0979,s03145
3146,v0994,v0994,s03146
3147,v0102|v0417|v0831|v1179,s03147,v0102|v0417|v0831|v1179
3148,v0998,v0998,s03148
3149,v0389|v0661,s03149,v0389|v0661
3150,v0266|v0366,v0366,v0266
3151,s03151,s03151,s03151
3152,s03152,s03152,s03152
3153,v0251,s03153,v0251
3154,v0992,v0992,s03154
3155,v0974|v1043|v1065,v0974|v1065,v1043
3156,v0391|v0430|v0804,s03156,v0391|v0430|v0804
3157,v0796|v0953|v0992,v0992,v0796|v0953
3158,v0665|v0960,s03158,v0665|v0960
3159,v0015|v0662,s03159,v0015|v0662
3160,v0031,s03160,v0031
3161,v0360|v0389,s03161,v0360|v0389
3162,v1082,s03162,v1082
3163,v0185|v0302|v0432|v0709|v0758|v0769|v0886|v0917,v0709|v0769|v0917,v0185|v0302|v0432|v0758|v0886
3164,v0262,s03164,v0262
3165,v0599|v0697|v0873|v0959,s03165,v0599|v0697|v0873|v0959
3166,v0955|v0992|v0994,v0955|v0992|v0994,s03166
3167,v0804|v0809,s03167,v0804|v0809
3168,v0678|v0992,v0992,v0678
3169,v0071|v0800|v0900|v0992,v0900|v0992,v0071|v0800
3170,v0326|v0844|v0974,v0974,v0326|v0844
3171,v0473|v0992,v0992,v0473
3172,v0992,v0992,s03172
3173,v0620|v0623,v0623,v0620
3174,v0992,v0992,s03174
3175,v0266|v0851,s03175,v0266|v0851
3176,s03176,s03176,s03176
3177,v0185|v0718|v0758|v0886|v1071,v0718,v0185|v0758|v0886|v1071
3178,v0571,s03178,v0571
3179,v0031|v0998,v0998,v0031
3180,v0992,v0992,s03180
3181,v0512,s03181,v0512
3182,v0263|v0360|v0389|v0556|v0787,v0787,v0263|v0360|v0389|v0556
3183,v0097|v0572,s03183,v0097|v0572
3184,v0302,s03184,v0302
3185,s03185,s03185,s03185
3186,v0571|v1110,s03186,v0571|v1110
3187,v0109|v0363|v0364|v0522|v0814|v0985,v0364|v0814|v0985,v0109|v0363|v0522
3188,v0468|v0635,s03188,v0468|v0635
3189,v0025|v0731|v0915,s03189,v0025|v0731|v0915
3190,v0050,s03190,v0050
3191,s03191,s03191,s03191
3192,v0050|v0762,v0762,v0050
3193,v0955|v0993,v0955|v0993,s03193
3194,s03194,s03194,s03194
3195,v0340|v0998,v0340|v0998,s03195
3196,v0050,s03196,v0050
3197,v0274|v0358|v0512|v0993,v0993,v0274|v0358|v0512
3198,v0994,v0994,s03198
3199,v0087|v0244|v0953|v0960|v0992|v0999,v0992,v0087|v0244|v0953|v0960|v0999
3200,v0599,s03200,v0599
3201,v0384|v0974,v0974,v0384
3202,v0222|v0726,v0726,v0222
3203,v0620,s03203,v0620
3204,v0917,v0917,s03204
3205,s03205,s03205,s03205
3206,v0050,s03206,v0050
3207,v0049,s03207,v0049
3208,v0209|v0665,s03208,v0209|v0665
3209,s03209,s03209,s03209
3210,v0602|v0951|v0986,v0951|v0986,v0602
3211,s03211,s03211,s03211
3212,v0391|v0665|v0992|v0993,v0992|v0993,v0391|v0665
3213,s03213,s03213,s03213
3214,v0130|v0389|v0661|v0974,v0130|v0974,v0389|v0661
3215,v0050|v0886,s03215,v0050|v0886
3216,v0127|v0185|v0388|v0890|v0992|v1043|v1045|v1065,v0127|v0890|v0992|v1065,v0185|v0388|v1043|v1045
3217,v0678|v0939|v0974,v0974,v0678|v0939
3218,s03218,s03218,s03218
3219,v0363|v0395,s03219,v0363|v0395
3220,v0974|v0992,v0974|v0992,s03220
3221,v0974,v0974,s03221
3222,v0185|v0550|v0718|v0758|v0761|v0886|v0961|v0998,v0550|v0718|v0961|v0998,v0185|v0758|v0761|v0886
3223,v0337|v0427|v0665|v1204,v0337,v0427|v0665|v1204
3224,v1082,s03224,v1082
3225,v0401|v0994,v0994,v0401
3226,v0128|v0266,s03226,v0128|v0266
3227,s03227,s03227,s03227
3228,v0678|v0974,v0974,v0678
3229,v0278|v0975,v0278|v0975,s03229
3230,v0545|v0958|v0975,v0958|v0975,v0545
3231,v0198|v0960,s03231,v0198|v0960
3232,v0851,s03232,v0851
3233,v0464|v0525|v1114,s03233,v0464|v0525|v1114
3234,v0109|v0355|v0358,s03234,v0109|v0355|v0358
3235,v0992|v0994|v1129,v0992|v0994,v1129
3236,s03236,s03236,s03236
3237,v0974|v1122,v0974,v1122
3238,v0678,s03238,v0678
3239,v0321|v0906,s03239,v0321|v0906
3240,v0389|v0527|v0974|v0992,v0527|v0974|v0992,v0389
3241,v0513|v0879,s03241,v0513|v0879
3242,v0065,s03242,v0065
3243,v0288|v0326|v0844,s03243,v0288|v0326|v0844
3244,v0974,v0974,s03244
3245,v0974|v0975|v0992|v1074,v0974|v0975|v0992,v1074
3246,v0468|v0718,v0718,v0468
3247,v0050,s03247,v0050
3248,v0047|v0233|v0642|v0647|v0716|v0812,v0047|v0642|v0812,v0233|v0647|v0716
3249,v0041|v0134|v0762|v0916|v1140,v0762|v0916,v0041|v0134|v1140
3250,v0096|v0247|v0974|v0979,v0096|v0247|v0974|v0979,s03250
3251,v0221|v0291|v0618|v0804|v0851,v0618,v0221|v0291|v0804|v0851
3252,v0109|v0363|v0522|v0663|v0816|v0992,v0663|v0816|v0992,v0109|v0363|v0522
3253,v0031|v0275|v0974|v0975|v0993,v0974|v0975|v0993,v0031|v0275
3254,v0661|v0960,s03254,v0661|v0960
3255,v0730|v1199,s03255,v0730|v1199
3256,v0278|v0773,v0278|v0773,s03256
3257,v0998,v0998,s03257
3258,v0215|v0920|v1000|v1135,v0215|v0920|v1000,v1135
3259,v0648|v0653|v0678|v0703|v0974,v0648|v0653|v0974,v0678|v0703
3260,v0994|v1199,v0994,v1199
3261,v0384|v0955,v0955,v0384
3262,v0049|v0964,s03262,v0049|v0964
3263,v0992|v1082,v0992,v1082
3264,v0665|v0831,s03264,v0665|v0831
3265,v0185|v0920|v0992|v1001,v0920|v0992|v1001,v0185
3266,s03266,s03266,s03266
3267,v0389|v0960|v0974|v0992,v0974|v0992,v0389|v0960
3268,v0340|v0974|v0992|v1074,v0340|v0974|v0992,v1074
3269,v0050|v0340|v0992|v1074,v0340|v0992,v0050|v1074
3270,v0520,v0520,s03270
3271,v0097|v0572|v0737|v1110,s03271,v0097|v0572|v0737|v1110
3272,s03272,s03272,s03272
3273,v0097|v0338|v0361|v0398|v0992|v1189,v0361|v0398|v0992,v0097|v0338|v1189
3274,v0391|v0399|v0432|v0603|v0665,s03274,v0391|v0399|v0432|v0603|v0665
3275,v0015|v0223|v0321,s03275,v0015|v0223|v0321
3276,v0960,s03276,v0960
3277,v0340|v0384|v0975,v0340|v0975,v0384
3278,v0602|v0717|v0951,v0951,v0602|v0717
3279,v0678|v0974,v0974,v0678
3280,v0974|v1062,v0974,v1062
3281,v0071|v0841|v0993,v0993,v0071|v0841
3282,v0176|v0507,s03282,v0176|v0507
3283,s03283,s03283,s03283
3284,v0364|v0802,v0364,v0802
3285,v0947|v0992,v0992,v0947
3286,s03286,s03286,s03286
3287,v0176|v0192|v0974|v0978|v1000|v1043|v1065,v0192|v0974|v1000|v1065,v0176|v0978|v1043
3288,v0050,s03288,v0050
3289,v0602|v0951,v0951,v0602
3290,v0665|v1014,s03290,v0665|v1014
3291,v0266|v0366|v0635|v0703,v0366,v0266|v0635|v0703
3292,v0661,s03292,v0661
3293,v0602|v1074,s03293,v0602|v1074
3294,v1046,s03294,v1046
3295,v0793|v0998,v0998,v0793
3296,v0378|v0998|v1082,v0378|v0998,v1082
3297,v0993|v0998,v0993|v0998,s03297
3298,s03298,s03298,s03298
3299,v0384,s03299,v0384
3300,v0215|v0850|v0891|v0920|v0998,v0215|v0920|v0998,v0850|v0891
3301,v0337,v0337,s03301
3302,s03302,s03302,s03302
3303,v0177|v0804|v0851|v1043|v1065,v1065,v0177|v0804|v0851|v1043
3304,v0288|v0326|v0974|v0994,v0974|v0994,v0288|v0326
3305,v1204,s03305,v1204
3306,v0050|v0974|v0975|v1074,v0974|v0975,v0050|v1074
3307,v0947,s03307,v0947
3308,v0247|v0953|v0960|v0963|v0974|v0975|v1013,v0247|v0963|v0974|v0975|v1013,v0953|v0960
3309,v0211|v0562,s03309,v0211|v0562
3310,v0221|v0291|v0324|v0916,v0916,v0221|v0291|v0324
3311,s03311,s03311,s03311
3312,s03312,s03312,s03312
3313,v0340|v0974|v1074,v0340|v0974,v1074
3314,s03314,s03314,s03314
3315,v0338|v0635|v1189,s03315,v0338|v0635|v1189
3316,v0663,v0663,s03316
3317,v0364|v0727|v1228,v0364,v0727|v1228
3318,v0992,v0992,s03318
3319,v0280|v0343|v0730,v0280|v0343,v0730
3320,v0274|v0430|v0793,s03320,v0274|v0430|v0793
3321,v0097|v0361|v0375|v0836|v0857|v1091,v0361|v0836|v0857,v0097|v0375|v1091
3322,v0266|v0644|v0703|v0762|v0773,v0762|v0773,v0266|v0644|v0703
3323,v0223|v0793,s03323,v0223|v0793
3324,v1001,v1001,s03324
3325,s03325,s03325,s03325
3326,v0050|v1074,s03326,v0050|v1074
3327,v0998,v0998,s03327
3328,v0539|v0979,v0539|v0979,s03328
3329,v0127|v0389|v0665|v0974|v0999|v1043|v1065|v1080,v0127|v0974|v1065,v0389|v0665|v0999|v1043|v1080
3330,v0992|v0994,v0992|v0994,s03330
3331,v0636|v0947,s03331,v0636|v0947
3332,v0212|v0975|v0994,v0975|v0994,v0212
3333,s03333,s03333,s03333
3334,v0974|v0992|v0999|v1074,v0974|v0992,v0999|v1074
3335,v0071|v0790|v0992|v0993|v1104,v0992|v0993,v0071|v0790|v1104
3336,v0360|v0389|v0556|v0787,v0787,v0360|v0389|v0556
3337,v0245|v0283|v0395|v0974|v0975|v0992,v0245|v0974|v0975|v0992,v0283|v0395
3338,v0047|v0050,v0047,v0050
3339,v0050|v0266|v0541|v0703,s03339,v0050|v0266|v0541|v0703
3340,v0970|v0974,v0974,v0970
3341,v0384|v0551|v0992,v0551|v0992,v0384
3342,v0109|v0512|v0999,s03342,v0109|v0512|v0999
3343,s03343,s03343,s03343
3344,v1180,s03344,v1180
3345,v0358|v0430|v1141,s03345,v0358|v0430|v1141
3346,v0050|v0278|v0974|v0992,v0278|v0974|v0992,v0050
3347,v0031|v0593|v0974|v0993,v0593|v0974|v0993,v0031
3348,v0198,s03348,v0198
3349,v0992,v0992,s03349
3350,v0275,s03350,v0275
3351,s03351,s03351,s03351
3352,v1199,s03352,v1199
3353,v0221,s03353,v0221
3354,v0127|v0665|v1065|v1080,v0127|v1065,v0665|v1080
3355,v0185|v0323|v0758|v0769,v0769,v0185|v0323|v0758
3356,v0992,v0992,s03356
3357,v1196,s03357,v1196
3358,s03358,s03358,s03358
3359,v0266|v1228,s03359,v0266|v1228
3360,v0938,s03360,v0938
3361,v0793|v1074,s03361,v0793|v1074
3362,v0083|v0102,s03362,v0083|v0102
3363,v0114,s03363,v0114
3364,v0998,v0998,s03364
3365,v0992|v0993,v0992|v0993,s03365
3366,v0947,s03366,v0947
3367,v0050,s03367,v0050
3368,v0337,v0337,s03368
3369,v0773,v0773,s03369
3370,v0360|v0389,s03370,v0360|v0389
3371,v0358,s03371,v0358
3372,v0975,v0975,s03372
3373,v0097|v0178|v0361|v0836|v0857|v1029,v0361|v0836|v0857,v0097|v0178|v1029
3374,v0678|v0974,v0974,v0678
3375,v0994|v1199,v0994,v1199
3376,v0047|v0050,v0047,v0050
3377,v0375,s03377,v0375
3378,v0127|v0430|v0890|v1074,v0127|v0890,v0430|v1074
3379,v0974|v0979,v0974|v0979,s03379
3380,s03380,s03380,s03380
3381,v0109,s03381,v0109
3382,v0430|v0602|v1074,s03382,v0430|v0602|v1074
3383,s03383,s03383,s03383
3384,v0337,v0337,s03384
3385,v0793,s03385,v0793
3386,v0974,v0974,s03386
3387,v0855|v0992|v1046,v0992,v0855|v1046
3388,v0468,s03388,v0468
3389,v0228|v0915|v0975|v0998,v0975|v0998,v0228|v0915
3390,v0050|v0974|v0975|v1074,v0974|v0975,v0050|v1074
3391,v0087|v0360|v0389,s03391,v0087|v0360|v0389
3392,v0050|v0663,v0663,v0050
3393,s03393,s03393,s03393
3394,v0185|v0669|v0761|v0886|v0998,v0998,v0185|v0669|v0761|v0886
3395,v0357|v0473|v0589|v0992,v0357|v0992,v0473|v0589
3396,v0245|v0649,v0245|v0649,s03396
3397,v0114|v0960|v1062,s03397,v0114|v0960|v1062
3398,v0047,v0047,s03398
3399,v0773,v0773,s03399
3400,v0318|v0974|v0975|v0977|v0992|v1010|v1140,v0974|v0975|v0992|v1010,v0318|v0977|v1140
3401,s03401,s03401,s03401
3402,s03402,s03402,s03402
3403,v0999|v1137,s03403,v0999|v1137
3404,s03404,s03404,s03404
3405,s03405,s03405,s03405
3406,s03406,s03406,s03406
3407,v0262,s03407,v0262
3408,v0042|v0341|v0552|v0921|v0998,v0042|v0341|v0552|v0921|v0998,s03408
3409,v0069|v0974|v0992,v0974|v0992,v0069
3410,v0321|v0468,s03410,v0321|v0468
3411,v0661,s03411,v0661
3412,v1078,s03412,v1078
3413,v0361|v0818|v0977|v0992|v1083,v0361|v0818|v0992,v0977|v1083
3414,s03414,s03414,s03414
3415,v0623|v0652|v1000,v0623|v1000,v0652
3416,v0087|v0828|v0953|v0974|v0975|v1013,v0974|v0975|v1013,v0087|v0828|v0953
3417,v0793,s03417,v0793
3418,v0049|v0974,v0974,v0049
3419,v0027|v0361|v0709|v0818|v0855|v1083,v0361|v0709|v0818,v0027|v0855|v1083
3420,v0087|v0960|v1062,s03420,v0087|v0960|v1062
3421,v0015|v0221|v0321,s03421,v0015|v0221|v0321
3422,v0047|v0050|v0233,v0047,v0050|v0233
3423,v0071|v0087|v0992|v0993,v0992|v0993,v0071|v0087
3424,v0974|v0992|v1062,v0974|v0992,v1062
3425,v0221|v0297|v0321|v0419|v0992|v0995,v0992|v0995,v0221|v0297|v0321|v0419
3426,v0291|v0984,v0984,v0291
3427,v0817,s03427,v0817
3428,v0389|v0992,v0992,v0389
3429,v0087|v0653|v0678,v0653,v0087|v0678
3430,v0665,s03430,v0665
3431,v0050|v0134|v0665,s03431,v0050|v0134|v0665
3432,v0337|v0974|v0992|v1074,v0337|v0974|v0992,v1074
3433,v0665|v0974,v0974,v0665
3434,v0035|v0602|v0951,v0951,v0035|v0602
3435,v0031|v0975,v0975,v0031
3436,v0177|v0974|v0994,v0974|v0994,v0177
3437,v0047,v0047,s03437
3438,v0992|v0994,v0992|v0994,s03438
3439,v0890|v1000,v0890|v1000,s03439
3440,v0525|v0929|v0957|v0959|v0994,v0994,v0525|v0929|v0957|v0959
3441,v0110|v0245,v0110|v0245,s03441
3442,v0050|v0917,v0917,v0050
3443,v0421,s03443,v0421
3444,v0596,s03444,v0596
3445,v0050,s03445,v0050
3446,s03446,s03446,s03446
3447,s03447,s03447,s03447
3448,v0520|v0974,v0520|v0974,s03448
3449,v0050|v0993,v0993,v0050
3450,v0938,s03450,v0938
3451,v0097|v0572,s03451,v0097|v0572
3452,v0421|v0439|v0507,s03452,v0421|v0439|v0507
3453,v0621|v0993|v0994,v0621|v0993|v0994,s03453
3454,s03454,s03454,s03454
3455,v0974|v1074,v0974,v1074
3456,v0360|v0389|v0556,s03456,v0360|v0389|v0556
3457,v1010,v1010,s03457
3458,v0199|v0291|v0618|v0703|v0959,v0618,v0199|v0291|v0703|v0959
3459,s03459,s03459,s03459
3460,v0221,s03460,v0221
3461,v0198|v0615|v0960|v0992,v0992,v0198|v0615|v0960
3462,v0975,v0975,s03462
3463,v0251|v1082,s03463,v0251|v1082
3464,v0040|v0951,v0040|v0951,s03464
3465,v0982,s03465,v0982
3466,v0360|v0389|v1189,s03466,v0360|v0389|v1189
3467,v0050,s03467,v0050
3468,s03468,s03468,s03468
3469,v0649|v1001,v0649|v1001,s03469
3470,v0545|v0588|v0631,v0588|v0631,v0545
3471,v0128|v0366|v0974|v0975,v0366|v0974|v0975,v0128
3472,v0047,v0047,s03472
3473,v0152|v0185|v0380|v0804,v0380,v0152|v0185|v0804
3474,v0378|v0994|v1082,v0378|v0994,v1082
3475,v0389|v0417,s03475,v0389|v0417
3476,v0974|v1074,v0974,v1074
3477,v0938,s03477,v0938
3478,s03478,s03478,s03478
3479,v1199,s03479,v1199
3480,s03480,s03480,s03480
3481,v0364|v0992,v0364|v0992,s03481
3482,v0430|v0513|v1184,s03482,v0430|v0513|v1184
3483,s03483,s03483,s03483
3484,v0015|v0291|v0994|v1184,v0994,v0015|v0291|v1184
3485,s03485,s03485,s03485
3486,v0362,s03486,v0362
3487,v0087|v0648|v0678,v0648,v0087|v0678
3488,v0291|v0916|v1046,v0916,v0291|v1046
3489,s03489,s03489,s03489
3490,v0665|v0992,v0992,v0665
3491,s03491,s03491,s03491
3492,v0955|v1199,v0955,v1199
3493,v0245|v0299|v0619|v0974|v0992,v0245|v0299|v0974|v0992,v0619
3494,v0031,s03494,v0031
3495,s03495,s03495,s03495
3496,v0992,v0992,s03496
3497,s03497,s03497,s03497
3498,v0071|v0391|v0800|v0992|v0993,v0992|v0993,v0071|v0391|v0800
3499,v0730|v1140,s03499,v0730|v1140
3500,v0621|v0993,v0621|v0993,s03500
3501,v0364|v0520|v0802,v0364|v0520,v0802
3502,v0109|v0358|v0430|v0665|v0804|v0818|v0999,v0818,v0109|v0358|v0430|v0665|v0804|v0999
3503,v0998|v1082,v0998,v1082
3504,v0097|v0572,s03504,v0097|v0572
3505,v0185|v0758|v0761|v0769,v0769,v0185|v0758|v0761
3506,v0109|v0364|v0522|v0735|v0993,v0364|v0993,v0109|v0522|v0735
3507,v0251|v0333,s03507,v0251|v0333
3508,v0652|v1001,v1001,v0652
3509,v0251|v0994,v0994,v0251
3510,s03510,s03510,s03510
3511,v0042|v0917|v0998,v0042|v0917|v0998,s03511
3512,v0998|v1082,v0998,v1082
3513,s03513,s03513,s03513
3514,v0033|v0130|v0803|v0974,v0130|v0974,v0033|v0803
3515,v0661,s03515,v0661
3516,s03516,s03516,s03516
3517,v0050|v0278|v0975,v0278|v0975,v0050
3518,v1005,s03518,v1005
3519,v0364|v0974,v0364|v0974,s03519
3520,v0363|v0364,v0364,v0363
3521,v0399|v0432|v0665|v1148,s03521,v0399|v0432|v0665|v1148
3522,s03522,s03522,s03522
3523,v0375|v0726|v0975,v0726|v0975,v0375
3524,v0042|v0958|v0998,v0042|v0958|v0998,s03524
3525,v0532,s03525,v0532
3526,v0083|v0363,s03526,v0083|v0363
3527,v0545,s03527,v0545
3528,v0994,v0994,s03528
3529,v0069|v0251,s03529,v0069|v0251
3530,v0520|v0974|v0992,v0520|v0974|v0992,s03530
3531,v0974|v1074,v0974,v1074
3532,v0960|v0996|v1062,s03532,v0960|v0996|v1062
3533,v0504|v1046,v0504,v1046
3534,v0049|v0992|v0994,v0992|v0994,v0049
3535,v0245|v0955|v1154,v0245|v0955,v1154
3536,s03536,s03536,s03536
3537,v0042|v0998,v0042|v0998,s03537
3538,v0176|v0507,s03538,v0176|v0507
3539,v0550|v0859|v0993,v0550|v0859|v0993,s03539
3540,v0566,s03540,v0566
3541,v0955|v1122,v0955,v1122
3542,v0071|v0900|v1204,v0900,v0071|v1204
3543,v0804|v0975|v1000|v1043,v0975|v1000,v0804|v1043
3544,s03544,s03544,s03544
3545,v0992,v0992,s03545
3546,v0109,s03546,v0109
3547,s03547,s03547,s03547
3548,v0262,s03548,v0262
3549,v0520|v0974,v0520|v0974,s03549
3550,v0050|v0974|v1074,v0974,v0050|v1074
3551,v0215|v0920|v0974|v1001,v0215|v0920|v0974|v1001,s03551
3552,v0364|v0802|v0992,v0364|v0992,v0802
3553,v0134|v0786|v0855|v0886|v0917|v0999,v0917,v0134|v0786|v0855|v0886|v0999
3554,v0241|v0357,v0357,v0241
3555,s03555,s03555,s03555
3556,v0661,s03556,v0661
3557,v0992|v0994|v1006,v0992|v0994,v1006
3558,v0138|v0215|v0992|v1001|v1122,v0138|v0215|v0992|v1001,v1122
3559,v0221|v0432|v0473|v0589|v0992,v0992,v0221|v0432|v0473|v0589
3560,v0040|v0859|v0998,v0040|v0859|v0998,s03560
3561,v0239|v0358|v1071,s03561,v0239|v0358|v1071
3562,v0050|v0994,v0994,v0050
3563,v0994,v0994,s03563
3564,v0245|v0405|v0619|v0828|v0974|v0975|v0992,v0245|v0974|v0975|v0992,v0405|v0619|v0828
3565,v0087|v0244|v1013,v1013,v0087|v0244
3566,v0047|v0877,v0047,v0877
3567,v0992|v1000|v1001|v1013,v0992|v1000|v1001|v1013,s03567
3568,s03568,s03568,s03568
3569,v0974|v1001,v0974|v1001,s03569
3570,v0231|v0332|v0642|v1062,v0642,v0231|v0332|v1062
3571,v0031,s03571,v0031
3572,v0665,s03572,v0665
3573,v0299,v0299,s03573
3574,v1010,v1010,s03574
3575,v0043|v0297|v0974|v0975|v0992|v1000,v0974|v0975|v0992|v1000,v0043|v0297
3576,v0661|v0960,s03576,v0661|v0960
3577,v0602|v0951,v0951,v0602
3578,v0358|v0364|v0974|v0992,v0364|v0974|v0992,v0358
3579,v0974|v0992,v0974|v0992,s03579
3580,v0050,s03580,v0050
3581,v0155|v0177|v0221|v1043,s03581,v0155|v0177|v0221|v1043
3582,v0340|v0389,v0340,v0389
3583,v0389|v0556,s03583,v0389|v0556
3584,v0361|v0855|v0993|v1083,v0361|v0993,v0855|v1083
3585,s03585,s03585,s03585
3586,v1082,s03586,v1082
3587,v0729,s03587,v0729
3588,v0155|v0333|v0430|v0665,s03588,v0155|v0333|v0430|v0665
3589,v0047|v0545|v0642,v0047|v0642,v0545
3590,s03590,s03590,s03590
3591,v0994,v0994,s03591
3592,v0602|v0951,v0951,v0602
3593,v0221|v0331|v0678,s03593,v0221|v0331|v0678
3594,v0251|v0992|v1043|v1045,v0992,v0251|v1043|v1045
3595,v0975,v0975,s03595
3596,v0507,s03596,v0507
3597,v0399|v0665|v1148,s03597,v0399|v0665|v1148
3598,v0992|v1046,v0992,v1046
3599,s03599,s03599,s03599
3600,v0043|v0620,s03600,v0043|v0620
3601,v0262|v0520,v0520,v0262
3602,v0975,v0975,s03602
3603,v0974,v0974,s03603
3604,v0042|v0955|v0998,v0042|v0955|v0998,s03604
3605,v0678,s03605,v0678
3606,v0974,v0974,s03606
3607,v0804|v0851|v0974|v1043|v1065|v1074,v0974|v1065,v0804|v0851|v1043|v1074
3608,s03608,s03608,s03608
3609,v0430,s03609,v0430
3610,v0239|v0358|v0513|v1007,s03610,v0239|v0358|v0513|v1007
3611,v0669|v0974|v0975,v0974|v0975,v0669
3612,v0992|v0994|v1199,v0992|v0994,v1199
3613,v0489|v0507|v1003,v0489,v0507|v1003
3614,v0049|v0974,v0974,v0049
3615,s03615,s03615,s03615
3616,v0185|v0346|v0429|v0469|v0718|v0769|v0916|v0998,v0718|v0769|v0916|v0998,v0185|v0346|v0429|v0469
3617,s03617,s03617,s03617
3618,s03618,s03618,s03618
3619,v0050|v0974|v1074,v0974,v0050|v1074
3620,v0661,s03620,v0661
3621,v0097|v0387|v0572,s03621,v0097|v0387|v0572
3622,s03622,s03622,s03622
3623,v0662,s03623,v0662
3624,v0262,s03624,v0262
3625,s03625,s03625,s03625
3626,v0040,v0040,s03626
3627,v0128|v0361|v0595|v0603|v0836|v0857,v0361|v0836|v0857,v0128|v0595|v0603
3628,s03628,s03628,s03628
3629,v0718|v0758|v0769|v0804|v0886|v0974|v0998,v0718|v0769|v0974|v0998,v0758|v0804|v0886
3630,v0974|v1074,v0974,v1074
3631,v0998,v0998,s03631
3632,v0088|v0851|v0886|v0917|v1137,v0917,v0088|v0851|v0886|v1137
3633,v0049|v0221|v0809|v0928,s03633,v0049|v0221|v0809|v0928
3634,v0955|v0993,v0955|v0993,s03634
3635,v0050|v0730|v0979|v0992|v1010,v0979|v0992|v1010,v0050|v0730
3636,v0974|v1074,v0974,v1074
3637,v0031,s03637,v0031
3638,v0389|v0390|v0665|v0974|v0994|v1043|v1045|v1065,v0974|v0994|v1065,v0389|v0390|v0665|v1043|v1045
3639,v0071|v0620,s03639,v0071|v0620
3640,v0907|v0994,v0994,v0907
3641,v0974,v0974,s03641
3642,v0720|v0970,s03642,v0720|v0970
3643,v0346,s03643,v0346
3644,s03644,s03644,s03644
3645,s03645,s03645,s03645
3646,v0938|v0993,v0993,v0938
3647,v0109,s03647,v0109
3648,v0974,v0974,s03648
3649,v0665|v0793,s03649,v0665|v0793
3650,v0047|v0642,v0047|v0642,s03650
3651,v0399|v0432|v0603|v1148,s03651,v0399|v0432|v0603|v1148
3652,s03652,s03652,s03652
3653,v0678|v0960,s03653,v0678|v0960
3654,v0974,v0974,s03654
3655,s03655,s03655,s03655
3656,v0389|v0399|v0665|v0890|v0974|v0977|v1043|v1045|v1065,v0890|v0974|v1065,v0389|v0399|v0665|v0977|v1043|v1045
3657,v1046,s03657,v1046
3658,v0128|v0603|v0831,s03658,v0128|v0603|v0831
3659,v1037,s03659,v1037
3660,v0993,v0993,s03660
3661,v0678|v0960,s03661,v0678|v0960
3662,v0925|v0974|v0992,v0974|v0992,v0925
3663,v0245|v0959|v0992|v0993,v0245|v0992|v0993,v0959
3664,v0278|v0992,v0278|v0992,s03664
3665,v1038,s03665,v1038
3666,s03666,s03666,s03666
3667,v0128|v0167|v0178|v0245|v0361,v0245|v0361,v0128|v0167|v0178
3668,v1154,s03668,v1154
3669,v0389|v0527|v0974,v0527|v0974,v0389
3670,v0043|v0102|v0221|v0302|v0977|v0992|v0995|v1000,v0992|v0995|v1000,v0043|v0102|v0221|v0302|v0977
3671,v0050,s03671,v0050
3672,v0050|v0730|v0979,v0979,v0050|v0730
3673,s03673,s03673,s03673
3674,s03674,s03674,s03674
3675,v0364|v0974,v0364|v0974,s03675
3676,v0050,s03676,v0050
3677,v0185|v0302|v0567|v0718|v0782|v0916,v0718|v0782|v0916,v0185|v0302|v0567
3678,s03678,s03678,s03678
3679,s03679,s03679,s03679
3680,v0275|v0993,v0993,v0275
3681,v0047|v0050,v0047,v0050
3682,s03682,s03682,s03682
3683,s03683,s03683,s03683
3684,v0545|v0631,v0631,v0545
3685,v0365|v1199,v0365,v1199
3686,v0958,v0958,s03686
3687,v0384|v0974,v0974,v0384
3688,v0430|v0812|v1074,v0812,v0430|v1074
3689,v1199,s03689,v1199
3690,v0992,v0992,s03690
3691,v0992,v0992,s03691
3692,v0042|v0998,v0042|v0998,s03692
3693,v0831,s03693,v0831
3694,v1204,s03694,v1204
3695,v0974|v0978,v0974,v0978
3696,v0958,v0958,s03696
3697,v0346|v0793,s03697,v0346|v0793
3698,v0128|v0266|v0703|v0762,v0762,v0128|v0266|v0703
3699,v0974,v0974,s03699
3700,v0642,v0642,s03700
