,numeric_id,egoid,race_ethnicity,agerange,demographic_bucket,demo_desc,age,empirical_egos_list,assigned_empego_for_venues,assigned_empego,venue_list,init_ser_cat,init_cas_cat,init_pers_cat,any_serious,assigned_empego_rel,appslist_rel,assigned_empego_norel,appslist_norel,appslist
84,1687,s01687,whiteNH,21to29,2,W/21+,26.936986301369863,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e188,e188,v0087|v0177|v0974|v0992|v0994,0,0,0,0,e188,a05|a17,e180,a17|a18,a17|a18
337,1696,s01696,whiteNH,21to29,2,W/21+,28.813698630136987,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e442,e442,v0337|v0426,0,0,0,0,e442,a05|a16,e481,a05|a17,a05|a17
481,1700,s01700,whiteNH,21to29,2,W/21+,28.29041095890411,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e344,e344,v0221|v0297|v0378|v0419|v0432|v0537|v0589|v0864|v0974|v0975|v0992|v0995|v0998|v1000|v1084|v1104,0,0,0,0,e344,a01|a05|a07|a08|a10|a14|a17,e460,a05,a05
110,1754,s01754,whiteNH,21to29,2,W/21+,25.65753424657534,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e049,e049,v0036|v0047|v0231|v0548|v0576|v0599|v0642|v0647|v0716|v0812|v0998,0,0,0,0,e049,a05|a14,e569,s01754,s01754
178,1784,s01784,whiteNH,21to29,2,W/21+,25.46027397260274,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e481,e481,v0401|v0907|v0992|v0994|v1104|v1129,0,0,0,1,e311,a07,e481,a05|a17,a07
176,1811,s01811,whiteNH,21to29,2,W/21+,22.336986301369866,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e458,e458,v0358|v0364|v0830|v0974|v0992,1+,0,1,1,e585,a05|a14,e458,s01811,a05|a14
486,1833,s01833,whiteNH,21to29,2,W/21+,27.46301369863013,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e052,e052,v0031|v0998,0,0,0,0,e052,a05|a17|a36,e570,s01833,s01833
43,1844,s01844,whiteNH,21to29,2,W/21+,26.36712328767124,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e073,e073,v0050|v0663|v0738|v0771|v0992|v0993|v0994,0,1,1,0,e073,a05,e477,a05|a14|a36,a05|a14|a36
378,1850,s01850,whiteNH,21to29,2,W/21+,24.44383561643836,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e190,e190,v0090|v0199|v0202|v0291|v0605|v0618,1+,0,1,1,e442,a05|a16,e190,s01850,a05|a16
345,1887,s01887,whiteNH,21to29,2,W/21+,25.153424657534245,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e457,e457,v0357|v0594|v0812|v0982,0,0,0,0,e457,a17|a18,e059,s01887,s01887
456,1891,s01891,whiteNH,21to29,2,W/21+,29.945205479452056,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e213,e213,v0096|v0176|v0391|v0421|v0430|v0489|v0507|v0511|v0576,0,0,0,0,e213,a01|a19,e146,a05|a36,a05|a36
14,1893,s01893,whiteNH,21to29,2,W/21+,24.016438356164382,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e051,e051,v0035|v0602|v0717|v0951|v0986,0,0,0,1,e448,a17|a19,e051,s01893,a17|a19
333,1897,s01897,whiteNH,21to29,2,W/21+,26.48493150684932,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e057,e057,v0040|v0348|v0998,0,0,0,1,e533,a05|a14|a16,e057,s01897,a05|a14|a16
306,1918,s01918,whiteNH,21to29,2,W/21+,26.471232876712328,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e285,e285,v0127|v0185|v0389|v0665|v0890|v0974|v0977|v0992|v0994|v0999|v1032|v1033|v1043|v1045|v1065|v1080,0,1,1,0,e285,a05|a08|a10|a14,e059,s01918,s01918
473,1921,s01921,whiteNH,21to29,2,W/21+,25.356164383561644,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e307,e307,v0176|v0177|v0185|v0192|v0193|v0804|v0840|v0851|v0894|v0974|v0975|v0978|v0992|v1000|v1043|v1065|v1074,0,1,1,0,e307,a05|a10|a14,e429,a05|a18,a05|a18
109,1946,s01946,whiteNH,21to29,2,W/21+,24.83013698630137,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e597,e597,v0947|v0975|v0992|v0994|v1012,0,0,0,0,e597,a01|a05|a32,e053,s01946,s01946
455,1948,s01948,whiteNH,21to29,2,W/21+,27.34246575342466,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e175,e175,v0087|v0197|v0262|v0358|v0389|v0520|v0974|v0992,0,0,0,0,e175,a05|a14,e102,s01948,s01948
475,1957,s01957,whiteNH,21to29,2,W/21+,27.5013698630137,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e124,e124,v0049|v0974|v0992,1+,0,1,1,e245,a05|a14|a16,e124,s01957,a05|a14|a16
237,1965,s01965,whiteNH,21to29,2,W/21+,29.48493150684932,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e072,e072,v0049|v0102|v0109|v0155|v0209|v0221|v0333|v0430|v0599|v0654|v0697|v0831|v0873|v0974|v0994,0,0,0,0,e072,a05|a07|a10|a16,e239,s01965,s01965
327,1970,s01970,whiteNH,21to29,2,W/21+,26.536986301369865,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e017,e017,v0014|v0223|v0227|v0437|v0550|v0768|v0773,0,0,0,0,e017,s01970,e180,a17|a18,a17|a18
495,1972,s01972,whiteNH,21to29,2,W/21+,29.65205479452055,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e597,e597,v0947|v0975|v0992|v0994|v1012,0,1,1,0,e597,a01|a05|a32,e053,s01972,s01972
421,1992,s01992,whiteNH,21to29,2,W/21+,26.12602739726028,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e585,e585,v0827|v0992|v1000|v1001,0,1,1,0,e585,a05|a14,e190,s01992,s01992
121,1996,s01996,whiteNH,21to29,2,W/21+,23.232876712328768,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e536,e536,v0551|v0788|v0901|v0974|v0992|v1038,1+,0,1,1,e275,a05|a14|a16|a17|a22,e536,s01996,a05|a14|a16|a17|a22
361,2018,s02018,whiteNH,21to29,2,W/21+,29.312328767123287,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e534,e534,v0541|v1078|v1109,0,0,0,0,e534,a16,e458,s02018,s02018
277,2175,s02175,whiteNH,21to29,2,W/21+,28.66027397260273,"['e001', 'e017', 'e021', 'e023', 'e024', 'e029', 'e043', 'e049', 'e051', 'e052', 'e053', 'e057', 'e059', 'e061', 'e067', 'e069', 'e072', 'e073', 'e102', 'e118', 'e124', 'e125', 'e139', 'e146', 'e147', 'e170', 'e175', 'e176', 'e180', 'e188', 'e190', 'e213', 'e221', 'e222', 'e228', 'e239', 'e245', 'e252', 'e262', 'e267', 'e270', 'e275', 'e283', 'e285', 'e286', 'e287', 'e306', 'e307', 'e309', 'e311', 'e313', 'e314', 'e319', 'e323', 'e344', 'e346', 'e381', 'e395', 'e399', 'e400', 'e408', 'e415', 'e421', 'e429', 'e431', 'e441', 'e442', 'e445', 'e448', 'e450', 'e457', 'e458', 'e459', 'e460', 'e467', 'e476', 'e477', 'e481', 'e533', 'e534', 'e536', 'e547', 'e556', 'e569', 'e570', 'e585', 'e597', 'e604']",e059,e059,v0041|v0345|v0364|v0461|v0513|v0539|v0727|v0762|v0776|v0842|v0879|v0916|v0974|v0992|v1046,1+,0,1,1,e285,a05|a08|a10|a14,e059,s02175,a05|a08|a10|a14
