venueid,venuetype
v1119,restaurant-coffeeshop
v1120,bar-club
v1121,shopping
v1122,somethingelse
v1123,park-neighborhood
v1124,park-neighborhood
v1125,school-college-university
v1126,arts-theatre
v1127,park-neighborhood
v1128,park-neighborhood
v1129,arts-theatre
v1130,bar-club
v1131,communityorganization
v1132,shopping
v1133,bar-club
v1134,park-neighborhood
v1135,restaurant-coffeeshop
v1136,restaurant-coffeeshop
v1137,restaurant-coffeeshop
v1138,somethingelse
v1139,shopping
v1140,restaurant-coffeeshop
v1141,restaurant-coffeeshop
v1142,restaurant-coffeeshop
v1143,restaurant-coffeeshop
v1144,restaurant-coffeeshop
v1145,arts-theatre
v1146,restaurant-coffeeshop
v1147,bar-club
v1148,restaurant-coffeeshop
v1149,arts-theatre
v1150,park-neighborhood
v1151,arts-theatre
v1152,restaurant-coffeeshop
v1153,school-college-university
v1154,somethingelse
v1155,park-neighborhood
v1156,restaurant-coffeeshop
v1157,restaurant-coffeeshop
v1158,restaurant-coffeeshop
v1159,somethingelse
v1160,park-neighborhood
v1161,shopping
v1162,restaurant-coffeeshop
v1163,school-college-university
v1164,school-college-university
v1165,school-college-university
v1166,restaurant-coffeeshop
v1167,school-college-university
v1168,restaurant-coffeeshop
v1169,school-college-university
v1170,shopping
v1171,communityorganization
v1172,shopping
v1173,school-college-university
v1174,shopping
v1175,shopping
v1176,communityorganization
v1177,arts-theatre
v1178,shopping
v1179,shopping
v1180,restaurant-coffeeshop
v1181,park-neighborhood
v1182,museum-library-attraction-casino
v1183,bar-club
v1184,restaurant-coffeeshop
v1185,museum-library-attraction-casino
v1186,restaurant-coffeeshop
v1187,museum-library-attraction-casino
v1188,restaurant-coffeeshop
v1189,park-neighborhood
v1190,restaurant-coffeeshop
v1191,restaurant-coffeeshop
v1192,arts-theatre
v1193,somethingelse
v1194,school-college-university
v1195,bar-club
v1196,restaurant-coffeeshop
v1197,bar-club
v1198,park-neighborhood
v1199,somethingelse
v1200,park-neighborhood
v1201,bar-club
v1202,bar-club
v1203,arts-theatre
v1204,park-neighborhood
v1205,restaurant-coffeeshop
v1206,bar-club
v1207,arts-theatre
v1208,arts-theatre
v1209,restaurant-coffeeshop
v1210,restaurant-coffeeshop
v1211,restaurant-coffeeshop
v1212,park-neighborhood
v1213,somethingelse
v1214,park-neighborhood
v1215,restaurant-coffeeshop
v1216,park-neighborhood
v1217,bar-club
v1218,arts-theatre
v1219,park-neighborhood
v1220,communityorganization
v1221,shopping
v1222,bar-club
v1223,bar-club
v1224,somethingelse
v1225,restaurant-coffeeshop
v1226,school-college-university
v1227,restaurant-coffeeshop
v1228,restaurant-coffeeshop
v1229,sports-gamingvenue
v1230,restaurant-coffeeshop
